id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
8f3565b3,Ante Budimir,17,CRO,FW,30-262,90,1,0,0,0,3,2,1,0,34,0,0,0,0.8,0.8,0.0,1,0,12,23,52.2,2,23,1,2,0,Osasuna,2022-04-10 Osasuna-Alavés,ESP-LALIGA,21-22,f7291717
5c96b017,Rubén García,14,ESP,LW,28-270,60,0,0,0,1,1,0,0,0,41,0,0,3,0.8,0.0,0.2,4,0,27,31,87.1,2,18,1,2,0,Osasuna,2022-04-10 Osasuna-Alavés,ESP-LALIGA,21-22,f7291717
e897d8ba,Kiké,18,ESP,FW,32-136,30,0,0,0,0,2,1,0,0,9,0,0,0,0.0,0.0,0.0,1,1,4,7,57.1,1,5,0,0,0,Osasuna,2022-04-10 Osasuna-Alavés,ESP-LALIGA,21-22,f7291717
253a06b9,Ezequiel Ávila,9,ARG,"RW,LM",28-063,85,0,0,0,0,3,0,0,0,50,0,0,0,0.1,0.1,0.2,3,0,23,41,56.1,8,35,1,4,2,Osasuna,2022-04-10 Osasuna-Alavés,ESP-LALIGA,21-22,f7291717
aad53e64,Kike Barja,11,ESP,LM,25-009,5,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,5,8,62.5,0,6,0,1,1,Osasuna,2022-04-10 Osasuna-Alavés,ESP-LALIGA,21-22,f7291717
bc61cc65,Iñigo Pérez,21,ESP,LM,34-082,60,0,0,0,0,0,0,0,0,21,1,0,0,0.0,0.0,0.0,2,0,14,19,73.7,1,13,1,0,0,Osasuna,2022-04-10 Osasuna-Alavés,ESP-LALIGA,21-22,f7291717
d733aa38,Roberto Torres,10,ESP,RM,33-034,30,0,0,0,0,0,0,0,0,23,1,0,0,0.0,0.0,0.0,1,0,13,19,68.4,2,13,0,0,0,Osasuna,2022-04-10 Osasuna-Alavés,ESP-LALIGA,21-22,f7291717
0e4fef6e,Lucas Torró,24,ESP,CM,27-265,90,0,0,0,0,1,0,1,0,67,1,2,0,0.2,0.2,0.0,3,0,49,59,83.1,8,32,1,0,0,Osasuna,2022-04-10 Osasuna-Alavés,ESP-LALIGA,21-22,f7291717
9939e168,Jon Moncayola,7,ESP,"RM,CM,RB",23-332,90,0,0,0,0,1,0,0,0,79,0,0,1,0.0,0.0,0.0,2,0,61,75,81.3,7,56,1,3,3,Osasuna,2022-04-10 Osasuna-Alavés,ESP-LALIGA,21-22,f7291717
3024e383,José Ángel,16,ESP,LB,32-217,60,0,0,0,0,0,0,0,0,39,2,0,0,0.0,0.0,0.0,0,0,22,33,66.7,4,26,1,4,1,Osasuna,2022-04-10 Osasuna-Alavés,ESP-LALIGA,21-22,f7291717
ffacd3d5,Manu Sánchez,39,ESP,LB,21-229,30,0,1,0,0,0,0,0,0,33,1,0,0,0.0,0.0,0.6,2,1,28,30,93.3,3,15,3,1,0,Osasuna,2022-04-10 Osasuna-Alavés,ESP-LALIGA,21-22,f7291717
3e42f707,David García,5,ESP,CB,28-055,90,0,0,0,0,2,0,0,0,75,0,1,0,0.0,0.0,0.2,2,0,61,69,88.4,9,52,0,0,0,Osasuna,2022-04-10 Osasuna-Alavés,ESP-LALIGA,21-22,f7291717
132ac341,Aridane Hernández,23,ESP,CB,33-018,90,0,0,0,0,0,0,0,0,66,0,1,0,0.0,0.0,0.0,0,0,52,62,83.9,5,45,0,0,0,Osasuna,2022-04-10 Osasuna-Alavés,ESP-LALIGA,21-22,f7291717
3a9c4b7b,Nacho Vidal,2,ESP,RB,27-076,85,0,0,0,0,1,0,1,0,73,3,0,0,0.0,0.0,0.0,3,0,43,68,63.2,2,31,2,1,1,Osasuna,2022-04-10 Osasuna-Alavés,ESP-LALIGA,21-22,f7291717
3672b352,Javi Martínez,28,ESP,"CM,RB",22-109,5,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,4,7,57.1,0,4,0,0,0,Osasuna,2022-04-10 Osasuna-Alavés,ESP-LALIGA,21-22,f7291717
a4995f48,Sergio Herrera,1,ESP,GK,28-309,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,22,37,59.5,0,24,0,0,0,Osasuna,2022-04-10 Osasuna-Alavés,ESP-LALIGA,21-22,f7291717
6265208f,Joselu,9,ESP,FW,32-014,90,0,0,0,0,3,1,0,0,28,1,0,0,0.3,0.3,0.0,1,0,14,22,63.6,4,15,0,2,0,Alavés,2022-04-10 Osasuna-Alavés,ESP-LALIGA,21-22,f7291717
eb3dd471,Luis Rioja,11,ESP,LW,28-176,90,0,0,0,0,2,1,0,0,33,0,0,0,0.1,0.1,0.0,2,0,14,27,51.9,2,18,4,2,2,Alavés,2022-04-10 Osasuna-Alavés,ESP-LALIGA,21-22,f7291717
aed746df,Édgar Méndez,17,ESP,"RW,AM",32-098,75,0,0,0,0,0,0,0,0,20,2,0,0,0.0,0.0,0.3,4,0,10,16,62.5,1,14,1,0,0,Alavés,2022-04-10 Osasuna-Alavés,ESP-LALIGA,21-22,f7291717
e54bd0a2,Tomás Pina Isla,8,ESP,"DM,AM",34-178,15,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,1,1,0,0,0,Alavés,2022-04-10 Osasuna-Alavés,ESP-LALIGA,21-22,f7291717
0bc4e720,Manu Vallejo,7,ESP,AM,25-055,65,0,0,0,0,1,0,0,0,33,1,0,1,0.0,0.0,0.1,2,0,7,16,43.8,1,12,1,2,0,Alavés,2022-04-10 Osasuna-Alavés,ESP-LALIGA,21-22,f7291717
ac7e7b1c,Facundo Pellistri,18,URU,RW,20-111,25,0,0,0,0,0,0,0,0,13,1,0,1,0.0,0.0,0.0,0,0,3,6,50.0,0,4,0,1,0,Alavés,2022-04-10 Osasuna-Alavés,ESP-LALIGA,21-22,f7291717
bcfc4473,Mamadou Loum,6,SEN,DM,25-101,90,0,0,0,0,1,0,1,0,40,0,2,1,0.0,0.0,0.0,0,0,18,28,64.3,4,9,0,0,0,Alavés,2022-04-10 Osasuna-Alavés,ESP-LALIGA,21-22,f7291717
3f79a1c8,Gonzalo Escalante,16,ARG,DM,29-014,80,0,0,0,0,0,0,0,0,39,3,1,2,0.0,0.0,0.0,1,0,17,28,60.7,4,14,0,2,1,Alavés,2022-04-10 Osasuna-Alavés,ESP-LALIGA,21-22,f7291717
9e098912,Toni Moya,15,ESP,AM,24-021,10,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,1,2,0,0,0,Alavés,2022-04-10 Osasuna-Alavés,ESP-LALIGA,21-22,f7291717
8db394aa,Ximo Navarro,23,ESP,"LB,RB",32-077,90,0,0,0,0,1,0,0,0,39,1,1,0,0.0,0.0,0.0,0,0,18,29,62.1,0,11,0,0,0,Alavés,2022-04-10 Osasuna-Alavés,ESP-LALIGA,21-22,f7291717
6eaed4eb,Florian Lejeune,22,FRA,CB,30-325,90,0,0,0,0,0,0,0,0,41,2,0,1,0.0,0.0,0.0,0,0,23,31,74.2,1,17,0,0,0,Alavés,2022-04-10 Osasuna-Alavés,ESP-LALIGA,21-22,f7291717
b7c99b9b,Víctor Laguardia,5,ESP,CB,32-156,90,0,0,0,0,0,0,0,0,49,0,0,1,0.0,0.0,0.0,2,0,25,37,67.6,1,14,0,0,0,Alavés,2022-04-10 Osasuna-Alavés,ESP-LALIGA,21-22,f7291717
66654daa,Nahuel Tenaglia,2,ARG,RB,26-048,80,0,0,0,0,0,0,0,0,34,5,1,1,0.0,0.0,0.0,0,0,12,22,54.5,0,13,1,2,2,Alavés,2022-04-10 Osasuna-Alavés,ESP-LALIGA,21-22,f7291717
1fe0492d,Rubén Duarte,3,ESP,LB,26-174,10,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,0,3,0.0,0,1,0,0,0,Alavés,2022-04-10 Osasuna-Alavés,ESP-LALIGA,21-22,f7291717
97852360,Fernando Pacheco,1,ESP,GK,29-327,90,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,1,0,14,42,33.3,0,20,0,0,0,Alavés,2022-04-10 Osasuna-Alavés,ESP-LALIGA,21-22,f7291717
