id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
3745e8bd,Sebastian Polter,40,GER,FW,30-254,67,1,0,1,1,0,0,0,0,19,1,0,0,0.8,0.0,0.0,0,0,4,12,33.3,2,7,0,1,0,Bochum,2021-12-11 Bochum-Dortmund,GER-BL1,21-22,f8b45c28
6c731625,Silvère Ganvoula M'Boussy,35,CGO,FW,25-172,23,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,3,0,0,0,Bochum,2021-12-11 Bochum-Dortmund,GER-BL1,21-22,f8b45c28
0a3f6cde,Christopher Antwi-Adjei,22,GHA,LM,27-307,79,0,0,0,0,2,1,0,0,30,0,1,1,0.1,0.1,0.0,1,1,10,15,66.7,1,19,4,1,1,Bochum,2021-12-11 Bochum-Dortmund,GER-BL1,21-22,f8b45c28
f27680d9,Cristian Gamboa,2,CRC,RB,32-048,11,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,1,0,0,1,0.0,0,2,1,0,0,Bochum,2021-12-11 Bochum-Dortmund,GER-BL1,21-22,f8b45c28
1ae836b1,Elvis Rexhbeçaj,20,GER,CM,24-040,90,0,0,0,0,0,0,0,0,28,1,3,2,0.0,0.0,0.0,1,1,11,18,61.1,3,13,1,0,0,Bochum,2021-12-11 Bochum-Dortmund,GER-BL1,21-22,f8b45c28
5dc15574,Miloš Pantović,27,SRB,CM,25-157,79,0,0,0,0,0,0,0,0,39,1,1,1,0.0,0.0,0.0,0,0,26,32,81.3,1,22,1,0,0,Bochum,2021-12-11 Bochum-Dortmund,GER-BL1,21-22,f8b45c28
037130ca,Robert Tesche,23,GER,CM,34-198,11,0,0,0,0,0,0,0,0,3,0,1,2,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Bochum,2021-12-11 Bochum-Dortmund,GER-BL1,21-22,f8b45c28
2979c05a,Gerrit Holtmann,17,PHI,RM,26-261,66,0,0,0,0,0,0,0,0,19,0,0,1,0.0,0.0,0.0,0,0,4,9,44.4,0,10,1,2,0,Bochum,2021-12-11 Bochum-Dortmund,GER-BL1,21-22,f8b45c28
5ad8c360,Herbert Bockhorn,11,GER,RM,26-314,24,0,0,0,0,0,0,0,0,8,1,0,0,0.0,0.0,0.0,1,0,4,5,80.0,0,5,2,2,2,Bochum,2021-12-11 Bochum-Dortmund,GER-BL1,21-22,f8b45c28
