id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
b0547a87,Nicolas de Préville,12,FRA,FW,30-086,78,0,0,0,0,2,0,0,0,33,0,0,0,0.1,0.1,0.0,1,0,22,29,75.9,6,26,0,2,2,Bordeaux,2021-04-04 Bordeaux-Strasbourg,FRA-L1,20-21,f919ead6
4eb0686f,Amadou Traore,31,FRA,FW,19-028,12,0,0,0,0,0,0,0,0,6,0,0,2,0.0,0.0,0.0,1,0,2,2,100.0,0,3,0,2,1,Bordeaux,2021-04-04 Bordeaux-Strasbourg,FRA-L1,20-21,f919ead6
a2d873dd,Hwang Ui-jo,18,KOR,FW,28-219,78,1,0,1,1,3,2,0,0,26,1,0,0,0.9,0.2,0.1,2,0,14,17,82.4,0,12,0,0,0,Bordeaux,2021-04-04 Bordeaux-Strasbourg,FRA-L1,20-21,f919ead6
3544641e,Sekou Mara,36,FRA,FW,18-248,12,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,2,1,0,0,Bordeaux,2021-04-04 Bordeaux-Strasbourg,FRA-L1,20-21,f919ead6
74dc806c,Hatem Ben Arfa,8,FRA,AM,34-028,90,0,0,0,0,0,0,0,0,62,0,0,0,0.0,0.0,0.1,3,1,42,53,79.2,8,39,6,7,3,Bordeaux,2021-04-04 Bordeaux-Strasbourg,FRA-L1,20-21,f919ead6
10efd0e1,Jean Seri,15,CIV,CM,29-259,66,0,0,0,0,0,0,0,0,66,0,1,2,0.0,0.0,0.1,5,0,48,55,87.3,7,40,1,5,3,Bordeaux,2021-04-04 Bordeaux-Strasbourg,FRA-L1,20-21,f919ead6
53f6306f,Mehdi Zerkane,17,ALG,CM,21-263,24,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,11,12,91.7,2,8,0,0,0,Bordeaux,2021-04-04 Bordeaux-Strasbourg,FRA-L1,20-21,f919ead6
26777636,Yacine Adli,19,FRA,CM,20-249,90,0,0,0,0,3,1,0,0,85,2,1,2,0.1,0.1,0.1,3,0,62,77,80.5,11,45,4,2,0,Bordeaux,2021-04-04 Bordeaux-Strasbourg,FRA-L1,20-21,f919ead6
ea02beaf,Remi Oudin,28,FRA,WB,24-137,66,0,0,0,0,1,0,0,0,58,1,0,2,0.0,0.0,0.0,1,0,40,53,75.5,3,35,5,0,0,Bordeaux,2021-04-04 Bordeaux-Strasbourg,FRA-L1,20-21,f919ead6
