id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
07f8bcc8,Assan Ceesay,77,GAM,FW,29-021,79,0,0,0,0,1,0,0,0,23,0,0,1,0.3,0.3,0.0,2,1,5,11,45.5,0,7,0,0,0,Lecce,2023-04-07 Lecce-Napoli,ITA-SERIA_A,22-23,f952d6cb
b3ef6517,Joel Voelkerling Persson,31,SWE,FW,20-082,11,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,4,6,66.7,1,3,0,0,0,Lecce,2023-04-07 Lecce-Napoli,ITA-SERIA_A,22-23,f952d6cb
1fca9171,Federico Di Francesco,11,ITA,LW,28-297,87,1,0,0,0,1,1,0,0,26,2,0,1,0.1,0.1,0.4,4,0,12,15,80.0,3,13,1,4,2,Lecce,2023-04-07 Lecce-Napoli,ITA-SERIA_A,22-23,f952d6cb
8a6de8c7,Lameck Banda,22,ZAM,LW,22-068,3,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,1,0,1,0,Lecce,2023-04-07 Lecce-Napoli,ITA-SERIA_A,22-23,f952d6cb
ea02beaf,Remi Oudin,28,FRA,RW,26-140,79,0,0,0,0,3,1,0,0,35,2,0,0,0.4,0.4,0.2,5,0,18,25,72.0,2,17,0,2,1,Lecce,2023-04-07 Lecce-Napoli,ITA-SERIA_A,22-23,f952d6cb
ac4a4508,Gabriel Strefezza,27,BRA,RW,25-354,11,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,0,0,5,10,50.0,2,5,1,2,1,Lecce,2023-04-07 Lecce-Napoli,ITA-SERIA_A,22-23,f952d6cb
4c8845f7,Youssef Maleh,32,MAR,LM,24-228,79,0,0,0,0,2,1,0,0,31,0,1,3,0.1,0.1,0.0,1,0,16,24,66.7,1,11,1,1,1,Lecce,2023-04-07 Lecce-Napoli,ITA-SERIA_A,22-23,f952d6cb
a69cc629,Kristoffer Askildsen,7,NOR,LM,22-088,11,0,0,0,0,0,0,0,0,11,0,1,0,0.0,0.0,0.0,0,0,2,7,28.6,0,2,0,0,0,Lecce,2023-04-07 Lecce-Napoli,ITA-SERIA_A,22-23,f952d6cb
d4456fb3,Morten Hjulmand,42,DEN,CM,23-286,90,0,0,0,0,0,0,0,0,60,2,1,1,0.0,0.0,0.0,1,0,44,54,81.5,4,27,0,5,3,Lecce,2023-04-07 Lecce-Napoli,ITA-SERIA_A,22-23,f952d6cb
f025eade,Joan Gonzàlez,16,ESP,RM,21-065,70,0,0,0,0,0,0,0,0,36,3,0,2,0.0,0.0,0.0,1,0,18,24,75.0,3,18,0,3,2,Lecce,2023-04-07 Lecce-Napoli,ITA-SERIA_A,22-23,f952d6cb
dc765618,Þórir Jóhann Helgason,14,ISL,RM,22-191,20,0,0,0,0,0,0,0,0,6,0,0,1,0.0,0.0,0.0,0,0,4,5,80.0,0,2,0,0,0,Lecce,2023-04-07 Lecce-Napoli,ITA-SERIA_A,22-23,f952d6cb
c74d63ac,Antonino Gallo,25,ITA,LB,23-092,90,0,0,0,0,0,0,0,0,49,1,0,2,0.0,0.0,0.0,2,0,24,37,64.9,2,13,1,3,1,Lecce,2023-04-07 Lecce-Napoli,ITA-SERIA_A,22-23,f952d6cb
3eed9821,Samuel Umtiti,93,FRA,CB,29-144,90,0,0,0,0,3,0,1,0,57,1,1,2,0.2,0.2,0.0,0,0,35,47,74.5,2,26,1,0,0,Lecce,2023-04-07 Lecce-Napoli,ITA-SERIA_A,22-23,f952d6cb
5a08ee41,Federico Baschirotto,6,ITA,CB,26-199,90,0,0,0,0,1,0,0,0,54,1,0,2,0.1,0.1,0.3,1,1,37,46,80.4,8,25,1,0,0,Lecce,2023-04-07 Lecce-Napoli,ITA-SERIA_A,22-23,f952d6cb
822ed0ec,Valentin Gendrey,17,FRA,RB,22-290,90,0,0,0,0,0,0,1,0,41,1,0,3,0.0,0.0,0.0,0,0,20,31,64.5,1,8,0,0,0,Lecce,2023-04-07 Lecce-Napoli,ITA-SERIA_A,22-23,f952d6cb
9f5a610b,Wladimiro Falcone,30,ITA,GK,27-360,90,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,0,0,12,17,70.6,0,15,0,0,0,Lecce,2023-04-07 Lecce-Napoli,ITA-SERIA_A,22-23,f952d6cb
6e058f06,Giacomo Raspadori,81,ITA,FW,23-048,65,0,0,0,0,1,0,0,0,26,1,1,0,0.0,0.0,0.0,2,0,13,21,61.9,0,6,0,0,0,Napoli,2023-04-07 Lecce-Napoli,ITA-SERIA_A,22-23,f952d6cb
343c0d52,Giovanni Simeone,18,ARG,FW,27-276,16,0,0,0,0,0,0,0,0,9,0,0,1,0.0,0.0,0.0,0,0,3,3,100.0,0,7,0,1,1,Napoli,2023-04-07 Lecce-Napoli,ITA-SERIA_A,22-23,f952d6cb
5e861944,Matteo Politano,21,ITA,FW,29-247,9,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,1,0,8,9,88.9,3,5,1,1,0,Napoli,2023-04-07 Lecce-Napoli,ITA-SERIA_A,22-23,f952d6cb
dea88efd,Khvicha Kvaratskhelia,77,GEO,LW,22-054,89,0,0,0,0,1,0,0,0,50,1,2,0,0.1,0.1,0.2,4,0,31,38,81.6,1,34,2,7,3,Napoli,2023-04-07 Lecce-Napoli,ITA-SERIA_A,22-23,f952d6cb
d19ef4ef,Alessio Zerbin,23,ITA,LW,24-035,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Napoli,2023-04-07 Lecce-Napoli,ITA-SERIA_A,22-23,f952d6cb
a69e4806,Hirving Lozano,11,MEX,RW,27-251,65,0,0,0,0,3,1,0,0,39,1,1,2,0.4,0.4,0.0,1,0,21,26,80.8,0,24,3,2,0,Napoli,2023-04-07 Lecce-Napoli,ITA-SERIA_A,22-23,f952d6cb
5cdddffa,Tanguy Ndombele,91,FRA,LM,26-100,25,0,0,0,0,0,0,1,0,24,1,0,1,0.0,0.0,0.0,0,0,18,22,81.8,0,7,0,1,0,Napoli,2023-04-07 Lecce-Napoli,ITA-SERIA_A,22-23,f952d6cb
cf007308,Elif Elmas,7,MKD,"LM,RW",23-195,90,0,0,0,0,2,1,0,0,62,0,1,2,0.2,0.2,0.0,1,0,49,52,94.2,3,25,2,4,1,Napoli,2023-04-07 Lecce-Napoli,ITA-SERIA_A,22-23,f952d6cb
e1cbb531,Stanislav Lobotka,68,SVK,CM,28-133,90,0,0,0,0,0,0,0,0,85,5,0,0,0.0,0.0,0.0,1,0,75,81,92.6,5,41,1,0,0,Napoli,2023-04-07 Lecce-Napoli,ITA-SERIA_A,22-23,f952d6cb
6bb2c084,Andre-Frank Zambo Anguissa,99,CMR,RM,27-142,90,0,0,0,0,1,0,0,0,94,1,2,3,0.1,0.1,0.0,1,1,68,81,84.0,4,48,3,1,0,Napoli,2023-04-07 Lecce-Napoli,ITA-SERIA_A,22-23,f952d6cb
0b5a292a,Mário Rui,6,POR,LB,31-315,89,0,0,0,0,0,0,0,0,78,0,0,0,0.0,0.0,0.1,3,0,64,77,83.1,7,31,2,2,2,Napoli,2023-04-07 Lecce-Napoli,ITA-SERIA_A,22-23,f952d6cb
41c12f75,Mathías Olivera,17,URU,LB,25-158,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Napoli,2023-04-07 Lecce-Napoli,ITA-SERIA_A,22-23,f952d6cb
e0f8151c,Kim Min-jae,3,KOR,CB,26-143,90,0,1,0,0,0,0,0,0,117,4,1,0,0.0,0.0,0.3,1,1,94,106,88.7,2,61,1,1,1,Napoli,2023-04-07 Lecce-Napoli,ITA-SERIA_A,22-23,f952d6cb
