id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
01eb744d,Ángel Correa,10,ARG,FW,24-346,76,0,0,0,0,0,0,1,0,32,1,2,1,0.0,0.0,0.0,1,0,10,19,52.6,0,15,2,4,1,Atlético Madrid,2020-02-18 Atlético Madrid-Liverpool,UCL,19-20,f9a22073
a190d597,Diego Costa,19,ESP,FW,31-134,14,0,0,0,0,1,0,0,0,11,0,0,1,0.1,0.1,0.0,0,0,5,7,71.4,1,3,0,0,0,Atlético Madrid,2020-02-18 Atlético Madrid-Liverpool,UCL,19-20,f9a22073
129af0db,Álvaro Morata,9,ESP,FW,27-118,69,0,0,0,0,1,1,0,0,31,0,0,1,0.3,0.3,0.0,0,0,12,21,57.1,1,11,0,1,0,Atlético Madrid,2020-02-18 Atlético Madrid-Liverpool,UCL,19-20,f9a22073
db750822,Vitolo,20,ESP,FW,30-108,21,0,0,0,0,0,0,0,0,13,0,1,1,0.0,0.0,0.0,0,0,3,4,75.0,0,5,0,5,1,Atlético Madrid,2020-02-18 Atlético Madrid-Liverpool,UCL,19-20,f9a22073
4dbd0916,Thomas Lemar,11,FRA,LM,24-098,45,0,0,0,0,0,0,0,0,12,0,2,0,0.0,0.0,0.0,2,0,8,8,100.0,0,6,1,1,0,Atlético Madrid,2020-02-18 Atlético Madrid-Liverpool,UCL,19-20,f9a22073
02c15616,Marcos Llorente,14,ESP,RM,25-019,45,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,0,0,7,10,70.0,0,5,2,2,1,Atlético Madrid,2020-02-18 Atlético Madrid-Liverpool,UCL,19-20,f9a22073
c14bc029,Saúl Ñíguez,8,ESP,CM,25-089,90,1,0,0,0,1,1,0,0,45,2,2,0,0.7,0.7,0.0,0,0,24,29,82.8,4,14,0,4,4,Atlético Madrid,2020-02-18 Atlético Madrid-Liverpool,UCL,19-20,f9a22073
529f49ab,Thomas Partey,5,GHA,CM,26-250,90,0,0,0,0,3,0,0,0,50,5,1,0,0.1,0.1,0.1,3,0,26,37,70.3,2,19,1,2,2,Atlético Madrid,2020-02-18 Atlético Madrid-Liverpool,UCL,19-20,f9a22073
55126f3b,Koke,6,ESP,"LM,RM",28-041,90,0,0,0,0,0,0,0,0,46,3,1,0,0.0,0.0,0.0,3,2,25,34,73.5,6,15,0,3,2,Atlético Madrid,2020-02-18 Atlético Madrid-Liverpool,UCL,19-20,f9a22073
ed9f7cfe,Renan Lodi,12,BRA,LB,21-316,90,0,0,0,0,1,0,0,0,60,6,2,2,0.0,0.0,0.0,0,0,20,34,58.8,4,26,3,2,1,Atlético Madrid,2020-02-18 Atlético Madrid-Liverpool,UCL,19-20,f9a22073
51a3c4c8,Felipe,18,BRA,CB,30-278,90,0,0,0,0,0,0,0,0,38,2,1,2,0.0,0.0,0.0,0,0,18,27,66.7,0,11,0,0,0,Atlético Madrid,2020-02-18 Atlético Madrid-Liverpool,UCL,19-20,f9a22073
f6ac68c1,Stefan Savić,15,MNE,CB,29-041,90,0,0,0,0,0,0,0,0,24,1,0,0,0.0,0.0,0.0,0,0,12,16,75.0,2,7,0,0,0,Atlético Madrid,2020-02-18 Atlético Madrid-Liverpool,UCL,19-20,f9a22073
46a8347f,Šime Vrsaljko,24,CRO,RB,28-039,90,0,0,0,0,0,0,0,0,46,1,2,0,0.0,0.0,0.0,1,0,20,37,54.1,0,8,0,0,0,Atlético Madrid,2020-02-18 Atlético Madrid-Liverpool,UCL,19-20,f9a22073
ee8508c0,Jan Oblak,13,SVN,GK,27-042,90,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,0,0,13,30,43.3,0,8,0,0,0,Atlético Madrid,2020-02-18 Atlético Madrid-Liverpool,UCL,19-20,f9a22073
4c370d81,Roberto Firmino,9,BRA,FW,28-139,90,0,0,0,0,0,0,0,0,43,3,0,1,0.0,0.0,0.1,3,0,26,35,74.3,7,28,2,5,3,Liverpool,2020-02-18 Atlético Madrid-Liverpool,UCL,19-20,f9a22073
c691bfe2,Sadio Mané,10,SEN,LW,27-314,45,0,0,0,0,0,0,1,0,33,0,0,1,0.0,0.0,0.0,0,0,21,25,84.0,1,24,3,3,2,Liverpool,2020-02-18 Atlético Madrid-Liverpool,UCL,19-20,f9a22073
43a166b4,Divock Origi,27,BEL,"LW,FW",24-306,45,0,0,0,0,0,0,0,0,23,1,0,0,0.0,0.0,0.1,1,0,13,17,76.5,0,18,1,5,4,Liverpool,2020-02-18 Atlético Madrid-Liverpool,UCL,19-20,f9a22073
e342ad68,Mohamed Salah,11,EGY,RW,27-248,71,0,0,0,0,2,0,0,0,34,0,0,1,0.3,0.3,0.0,1,0,15,22,68.2,1,27,2,3,1,Liverpool,2020-02-18 Atlético Madrid-Liverpool,UCL,19-20,f9a22073
