id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
343c0d52,Giovanni Simeone,9,ARG,FW,23-052,90,1,1,0,0,4,3,0,0,33,2,0,1,1.1,1.1,0.4,7,2,14,17,82.4,1,14,2,3,1,Fiorentina,2018-08-26 Fiorentina-Chievo,ITA-SERIA_A,18-19,faabbf40
ae82fa48,Valentin Eysseric,7,FRA,LW,26-154,90,0,1,0,0,0,0,0,0,58,0,1,1,0.0,0.0,0.5,6,1,43,53,81.1,5,40,2,0,0,Fiorentina,2018-08-26 Fiorentina-Chievo,ITA-SERIA_A,18-19,faabbf40
b0f7e36c,Federico Chiesa,25,ITA,RW,20-305,73,1,0,0,0,6,2,0,0,35,2,0,1,1.2,1.2,0.0,4,0,14,19,73.7,1,25,5,1,0,Fiorentina,2018-08-26 Fiorentina-Chievo,ITA-SERIA_A,18-19,faabbf40
2c38b327,Marko Pjaca,10,CRO,RW,23-112,17,0,0,0,0,0,0,0,0,5,0,1,0,0.0,0.0,0.0,0,0,3,3,100.0,0,4,0,0,0,Fiorentina,2018-08-26 Fiorentina-Chievo,ITA-SERIA_A,18-19,faabbf40
8827bf46,Gerson,8,BRA,LM,21-098,74,1,1,0,0,3,2,0,0,53,1,0,0,0.8,0.8,0.4,6,3,40,46,87.0,7,30,3,2,2,Fiorentina,2018-08-26 Fiorentina-Chievo,ITA-SERIA_A,18-19,faabbf40
c53083ad,Bryan Dabo,14,BFA,LM,26-189,16,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,1,1,10,11,90.9,1,9,3,1,0,Fiorentina,2018-08-26 Fiorentina-Chievo,ITA-SERIA_A,18-19,faabbf40
3bb625ac,Edimilson Fernandes,26,SUI,CM,22-133,53,0,0,0,0,1,0,1,0,44,1,2,1,0.0,0.0,0.0,4,0,34,36,94.4,3,24,0,2,2,Fiorentina,2018-08-26 Fiorentina-Chievo,ITA-SERIA_A,18-19,faabbf40
df0a4c90,Christian Nørgaard,6,DEN,CM,24-169,37,0,0,0,0,0,0,0,0,30,0,1,0,0.0,0.0,0.0,0,0,21,24,87.5,0,15,0,0,0,Fiorentina,2018-08-26 Fiorentina-Chievo,ITA-SERIA_A,18-19,faabbf40
0000acda,Marco Benassi,24,ITA,RM,23-352,90,2,0,0,0,4,3,0,0,43,3,0,2,0.2,0.2,0.1,2,1,25,33,75.8,3,17,1,0,0,Fiorentina,2018-08-26 Fiorentina-Chievo,ITA-SERIA_A,18-19,faabbf40
