id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
9592289a,Simone Zaza,9,ITA,FW,26-076,90,0,0,0,0,2,0,0,0,29,3,0,0,0.1,0.1,0.0,1,0,14,19,73.7,2,17,0,1,0,Valencia,2017-09-09 Valencia-Atlético Madrid,ESP-LALIGA,17-18,fad580f6
1fb1c435,Rodrigo,19,ESP,FW,26-187,69,0,0,0,0,3,0,0,0,21,1,0,1,0.2,0.2,0.0,1,0,9,12,75.0,1,13,1,1,0,Valencia,2017-09-09 Valencia-Atlético Madrid,ESP-LALIGA,17-18,fad580f6
0b90bb97,Santi Mina,22,ESP,FW,21-276,21,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,2,0,8,9,88.9,0,7,0,1,1,Valencia,2017-09-09 Valencia-Atlético Madrid,ESP-LALIGA,17-18,fad580f6
6639e500,Andreas Pereira,11,BRA,LM,21-251,60,0,0,0,0,1,0,0,0,34,0,0,0,0.0,0.0,0.1,2,0,19,29,65.5,1,25,2,1,0,Valencia,2017-09-09 Valencia-Atlético Madrid,ESP-LALIGA,17-18,fad580f6
e6bc67d7,Gonçalo Guedes,7,POR,LM,20-284,30,0,0,0,0,0,0,0,0,23,0,0,1,0.0,0.0,0.0,1,0,10,16,62.5,0,18,2,3,2,Valencia,2017-09-09 Valencia-Atlético Madrid,ESP-LALIGA,17-18,fad580f6
cce181df,Geoffrey Kondogbia,16,CTA,CM,24-206,90,0,0,0,0,2,0,0,0,81,7,3,4,0.0,0.0,0.0,2,0,58,64,90.6,8,52,2,0,0,Valencia,2017-09-09 Valencia-Atlético Madrid,ESP-LALIGA,17-18,fad580f6
7460ca0d,Daniel Parejo,10,ESP,CM,28-146,90,0,0,0,0,0,0,0,0,90,3,1,1,0.0,0.0,0.1,5,0,71,82,86.6,9,64,4,2,1,Valencia,2017-09-09 Valencia-Atlético Madrid,ESP-LALIGA,17-18,fad580f6
fed17f5a,Carlos Soler,18,ESP,RM,20-250,90,0,0,0,0,1,0,0,0,40,2,0,1,0.0,0.0,0.0,0,0,21,28,75.0,1,23,1,5,1,Valencia,2017-09-09 Valencia-Atlético Madrid,ESP-LALIGA,17-18,fad580f6
b05e2dbd,José Luis Gayà,14,ESP,LB,22-107,90,0,0,0,0,1,0,0,0,83,3,0,2,0.0,0.0,0.1,4,0,55,74,74.3,10,52,7,2,1,Valencia,2017-09-09 Valencia-Atlético Madrid,ESP-LALIGA,17-18,fad580f6
b7ca5c51,Gabriel Paulista,5,BRA,CB,26-287,90,0,0,0,0,1,0,0,0,62,4,3,1,0.1,0.1,0.0,0,0,46,51,90.2,7,40,1,1,1,Valencia,2017-09-09 Valencia-Atlético Madrid,ESP-LALIGA,17-18,fad580f6
ac3fb1be,Ezequiel Garay,24,ARG,CB,30-334,73,0,0,0,0,0,0,0,0,48,1,2,2,0.0,0.0,0.0,1,0,34,41,82.9,1,27,0,0,0,Valencia,2017-09-09 Valencia-Atlético Madrid,ESP-LALIGA,17-18,fad580f6
b233e8e4,Jeison Murillo,4,COL,CB,25-105,17,0,0,0,0,0,0,0,0,8,1,0,1,0.0,0.0,0.0,0,0,4,4,100.0,0,3,0,0,0,Valencia,2017-09-09 Valencia-Atlético Madrid,ESP-LALIGA,17-18,fad580f6
5cec2487,Martín Montoya,21,ESP,RB,26-148,90,0,0,0,0,0,0,1,0,71,4,6,3,0.0,0.0,0.0,1,0,43,56,76.8,4,36,3,1,0,Valencia,2017-09-09 Valencia-Atlético Madrid,ESP-LALIGA,17-18,fad580f6
a9dc785c,Neto,13,BRA,GK,28-052,90,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,0,0,15,27,55.6,0,12,0,0,0,Valencia,2017-09-09 Valencia-Atlético Madrid,ESP-LALIGA,17-18,fad580f6
2513a588,Luciano Vietto,17,ARG,FW,23-278,64,0,0,0,0,3,0,0,0,31,0,2,0,0.3,0.3,0.0,0,0,19,23,82.6,2,20,0,2,1,Atlético Madrid,2017-09-09 Valencia-Atlético Madrid,ESP-LALIGA,17-18,fad580f6
bdf7b97d,Fernando Torres,9,ESP,FW,33-173,26,0,0,0,0,1,0,0,0,14,1,0,0,0.1,0.1,0.0,1,0,3,8,37.5,0,9,1,2,0,Atlético Madrid,2017-09-09 Valencia-Atlético Madrid,ESP-LALIGA,17-18,fad580f6
01eb744d,Ángel Correa,11,ARG,FW,22-184,71,0,0,0,0,2,2,0,0,41,0,0,0,0.1,0.1,0.1,5,0,24,31,77.4,2,30,6,5,2,Atlético Madrid,2017-09-09 Valencia-Atlético Madrid,ESP-LALIGA,17-18,fad580f6
