id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
eed332df,Milan Pavkov,9,SRB,FW,25-270,90,0,0,0,0,3,2,0,0,26,0,0,1,0.4,0.4,0.0,2,0,7,18,38.9,1,9,0,0,0,Red Star Belgrade,2019-11-06 Red Star-Tottenham,UCL,19-20,fb273c61
1931bde9,Rajiv van La Parra,91,NED,"LW,RM",28-155,90,0,0,0,0,1,1,0,0,35,2,0,0,0.1,0.1,0.0,2,0,18,20,90.0,2,24,2,7,1,Red Star Belgrade,2019-11-06 Red Star-Tottenham,UCL,19-20,fb273c61
62db2015,Mateo García,11,ARG,RW,23-057,67,0,0,0,0,0,0,0,0,20,1,0,0,0.0,0.0,0.1,0,0,8,12,66.7,1,13,2,4,2,Red Star Belgrade,2019-11-06 Red Star-Tottenham,UCL,19-20,fb273c61
27f0fcda,Richmond Boakye,14,GHA,FW,26-282,23,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,5,5,100.0,0,7,0,1,0,Red Star Belgrade,2019-11-06 Red Star-Tottenham,UCL,19-20,fb273c61
a022e78c,Marko Marin,10,GER,"AM,LM",30-238,90,0,0,0,0,1,0,0,0,47,1,0,0,0.0,0.0,0.0,1,0,25,38,65.8,2,26,3,2,1,Red Star Belgrade,2019-11-06 Red Star-Tottenham,UCL,19-20,fb273c61
4dbdf7f7,Dušan Jovančić,29,SRB,DM,29-018,61,0,0,0,0,0,0,0,0,24,1,3,1,0.0,0.0,0.0,1,0,9,16,56.3,1,13,0,2,0,Red Star Belgrade,2019-11-06 Red Star-Tottenham,UCL,19-20,fb273c61
ab77f2d9,José Cañas,87,ESP,"CM,DM",32-163,29,0,0,0,0,0,0,0,0,24,1,0,1,0.0,0.0,0.0,0,0,19,20,95.0,1,18,0,1,1,Red Star Belgrade,2019-11-06 Red Star-Tottenham,UCL,19-20,fb273c61
0cb29e91,Njegoš Petrović,20,SRB,"DM,CM",20-111,90,0,0,0,0,0,0,1,0,46,4,0,1,0.0,0.0,0.0,0,0,33,39,84.6,7,20,0,0,0,Red Star Belgrade,2019-11-06 Red Star-Tottenham,UCL,19-20,fb273c61
4dedd469,Milan Rodić,23,SRB,LB,28-218,90,0,0,0,0,0,0,0,0,51,2,0,1,0.0,0.0,0.0,0,0,31,42,73.8,6,28,0,1,0,Red Star Belgrade,2019-11-06 Red Star-Tottenham,UCL,19-20,fb273c61
c8e65157,Miloš Degenek,5,AUS,CB,25-192,90,0,0,0,0,0,0,0,0,58,4,3,3,0.0,0.0,0.0,0,0,34,42,81.0,3,25,0,0,0,Red Star Belgrade,2019-11-06 Red Star-Tottenham,UCL,19-20,fb273c61
746b64a7,Nemanja Milunović,19,SRB,CB,30-159,90,0,0,0,0,0,0,0,0,54,3,2,1,0.0,0.0,0.0,0,0,35,44,79.5,2,32,0,0,0,Red Star Belgrade,2019-11-06 Red Star-Tottenham,UCL,19-20,fb273c61
50c1ff86,Marko Gobeljić,77,SRB,RB,27-054,45,0,0,0,0,0,0,0,0,28,2,2,1,0.0,0.0,0.0,0,0,15,23,65.2,2,12,1,0,0,Red Star Belgrade,2019-11-06 Red Star-Tottenham,UCL,19-20,fb273c61
