id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
01870104,Mohamed Lamine Bayo,27,GUI,FW,23-254,90,0,0,0,0,2,1,0,0,37,0,0,1,0.6,0.6,0.0,1,0,17,28,60.7,2,15,1,4,1,Clermont Foot,2022-02-13 Clermont Foot-Saint-Étienne,FRA-L1,21-22,fb7a7909
25749008,Elba Rashani,18,KVX,LW,28-280,79,0,0,0,0,2,0,0,0,44,2,1,1,0.1,0.1,0.0,1,0,26,33,78.8,4,26,1,1,1,Clermont Foot,2022-02-13 Clermont Foot-Saint-Étienne,FRA-L1,21-22,fb7a7909
9f0f4b49,Arial Mendy,15,SEN,"LM,LW",27-098,11,0,0,0,0,1,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,2,1,1,0,Clermont Foot,2022-02-13 Clermont Foot-Saint-Étienne,FRA-L1,21-22,fb7a7909
007faf7a,Lucas Da Cunha,10,FRA,RW,20-249,63,0,0,0,0,1,1,0,0,35,0,0,1,0.1,0.1,0.1,3,0,19,24,79.2,1,18,0,1,0,Clermont Foot,2022-02-13 Clermont Foot-Saint-Étienne,FRA-L1,21-22,fb7a7909
1956b948,Jim Allevinah,11,GAB,"RW,RM",26-351,27,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,10,13,76.9,0,9,0,1,0,Clermont Foot,2022-02-13 Clermont Foot-Saint-Étienne,FRA-L1,21-22,fb7a7909
03e91055,Jason Berthomier,8,FRA,LM,32-038,63,0,1,0,0,1,0,0,0,48,3,0,1,0.0,0.0,0.1,2,1,27,41,65.9,0,16,0,0,0,Clermont Foot,2022-02-13 Clermont Foot-Saint-Étienne,FRA-L1,21-22,fb7a7909
caa7aaea,Yohann Magnin,7,FRA,"LM,CM",24-237,27,0,0,0,0,0,0,0,0,18,1,0,0,0.0,0.0,0.0,0,0,9,14,64.3,1,3,0,0,0,Clermont Foot,2022-02-13 Clermont Foot-Saint-Étienne,FRA-L1,21-22,fb7a7909
868eaba0,Johan Gastien,25,FRA,CM,34-019,87,0,0,0,0,1,0,1,0,66,2,4,2,0.0,0.0,0.0,0,0,36,54,66.7,2,16,0,0,0,Clermont Foot,2022-02-13 Clermont Foot-Saint-Étienne,FRA-L1,21-22,fb7a7909
397ba086,Grejohn Kyei,9,FRA,FW,26-185,3,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,3,0,0,0,Clermont Foot,2022-02-13 Clermont Foot-Saint-Étienne,FRA-L1,21-22,fb7a7909
82464ce3,Salis Abdul Samed,19,GHA,"RM,CM",21-324,90,0,0,0,0,0,0,0,0,50,0,0,1,0.0,0.0,0.0,4,0,32,42,76.2,8,34,2,0,0,Clermont Foot,2022-02-13 Clermont Foot-Saint-Étienne,FRA-L1,21-22,fb7a7909
249ac66d,Vital N'Simba,12,COD,LB,28-220,90,0,0,0,0,0,0,0,0,64,1,1,1,0.0,0.0,0.6,2,1,38,49,77.6,2,31,1,3,2,Clermont Foot,2022-02-13 Clermont Foot-Saint-Étienne,FRA-L1,21-22,fb7a7909
cea59f02,Alidu Seidu,36,GHA,CB,21-254,90,0,0,0,0,0,0,1,0,49,2,0,1,0.0,0.0,0.0,0,0,25,38,65.8,1,26,1,1,1,Clermont Foot,2022-02-13 Clermont Foot-Saint-Étienne,FRA-L1,21-22,fb7a7909
00891164,Cédric Hountondji,4,BEN,CB,28-025,90,1,0,0,0,1,1,1,0,37,2,4,0,0.1,0.1,0.0,0,0,15,27,55.6,2,8,0,0,0,Clermont Foot,2022-02-13 Clermont Foot-Saint-Étienne,FRA-L1,21-22,fb7a7909
0ff630d0,Akim Zedadka,20,ALG,RB,26-259,90,0,0,0,0,0,0,1,0,67,1,6,2,0.0,0.0,0.0,1,0,38,50,76.0,0,25,1,2,1,Clermont Foot,2022-02-13 Clermont Foot-Saint-Étienne,FRA-L1,21-22,fb7a7909
