id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
64f69877,Kevin Volland,31,GER,FW,30-260,75,1,0,0,0,2,1,0,0,39,0,0,2,0.3,0.3,0.7,2,0,13,27,48.1,5,27,1,0,0,Monaco,2023-04-16 Monaco-Lorient,FRA-L1,22-23,fbddfac1
3bd65247,Eliesse Ben Seghir,44,MAR,FW,18-059,15,0,0,0,0,0,0,0,0,15,1,0,1,0.0,0.0,0.0,0,0,10,13,76.9,1,9,0,1,1,Monaco,2023-04-16 Monaco-Lorient,FRA-L1,22-23,fbddfac1
942b4f90,Wissam Ben Yedder,10,FRA,FW,32-247,89,0,2,0,0,2,1,0,0,33,2,0,0,0.2,0.2,0.7,2,2,15,27,55.6,5,25,2,0,0,Monaco,2023-04-16 Monaco-Lorient,FRA-L1,22-23,fbddfac1
5b479568,Myron Boadu,9,NED,FW,22-092,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,1,0,0,0,Monaco,2023-04-16 Monaco-Lorient,FRA-L1,22-23,fbddfac1
3708e9fa,Aleksandr Golovin,17,RUS,LM,26-321,75,1,0,0,0,1,1,0,0,43,1,0,0,0.6,0.6,0.0,3,1,24,39,61.5,5,32,4,1,1,Monaco,2023-04-16 Monaco-Lorient,FRA-L1,22-23,fbddfac1
a0415710,Ismail Jakobs,14,SEN,LM,23-242,15,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,7,11,63.6,2,8,3,1,1,Monaco,2023-04-16 Monaco-Lorient,FRA-L1,22-23,fbddfac1
489e80e3,Mohamed Camara,4,MLI,CM,23-100,75,0,0,0,0,1,0,0,0,49,2,1,1,0.1,0.1,0.0,0,0,34,41,82.9,4,38,0,1,0,Monaco,2023-04-16 Monaco-Lorient,FRA-L1,22-23,fbddfac1
15944afd,Eliot Matazo,15,BEL,CM,21-060,15,0,0,0,0,0,0,0,0,18,0,0,1,0.0,0.0,0.0,0,0,12,14,85.7,1,12,0,1,0,Monaco,2023-04-16 Monaco-Lorient,FRA-L1,22-23,fbddfac1
822d51d7,Youssouf Fofana,19,FRA,CM,24-096,90,0,0,0,0,0,0,0,0,84,2,6,3,0.0,0.0,0.0,2,1,57,67,85.1,12,61,2,5,2,Monaco,2023-04-16 Monaco-Lorient,FRA-L1,22-23,fbddfac1
8104e41e,Krépin Diatta,27,SEN,RM,24-050,89,1,0,0,0,3,2,0,0,49,0,1,0,0.8,0.8,0.3,5,0,26,36,72.2,4,37,4,3,3,Monaco,2023-04-16 Monaco-Lorient,FRA-L1,22-23,fbddfac1
b625b241,Maghnes Akliouche,21,FRA,RM,21-050,1,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,1,5,1,2,1,Monaco,2023-04-16 Monaco-Lorient,FRA-L1,22-23,fbddfac1
30af8b93,Caio Henrique Oliveira Silva,12,BRA,LB,25-259,90,0,0,0,0,0,0,0,0,63,2,0,2,0.0,0.0,0.1,2,0,46,57,80.7,10,38,2,2,1,Monaco,2023-04-16 Monaco-Lorient,FRA-L1,22-23,fbddfac1
d9764034,Guillermo Maripán,3,CHI,CB,28-345,90,0,0,0,0,1,1,0,0,56,3,0,4,0.1,0.1,0.0,2,0,40,44,90.9,4,43,0,0,0,Monaco,2023-04-16 Monaco-Lorient,FRA-L1,22-23,fbddfac1
ad82197c,Axel Disasi,6,FRA,CB,25-036,90,0,0,0,0,0,0,0,0,65,1,0,1,0.0,0.0,0.0,1,0,50,55,90.9,4,52,1,1,1,Monaco,2023-04-16 Monaco-Lorient,FRA-L1,22-23,fbddfac1
ee45fd85,Vanderson,2,BRA,RB,21-299,90,0,0,0,0,1,0,0,0,74,4,2,1,0.1,0.1,0.0,1,0,49,63,77.8,2,44,1,1,0,Monaco,2023-04-16 Monaco-Lorient,FRA-L1,22-23,fbddfac1
afb0c500,Alexander Nübel,16,GER,GK,26-198,90,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,0,0,18,24,75.0,0,20,0,0,0,Monaco,2023-04-16 Monaco-Lorient,FRA-L1,22-23,fbddfac1
40774c6b,Bamba Dieng,11,SEN,FW,23-024,74,0,0,0,0,1,1,0,0,29,2,0,0,0.1,0.1,0.0,1,0,10,18,55.6,1,24,1,3,1,Lorient,2023-04-16 Monaco-Lorient,FRA-L1,22-23,fbddfac1
92d90c8f,Siriné Doucouré,29,MLI,FW,21-008,16,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,1,1,2,3,66.7,0,6,0,4,2,Lorient,2023-04-16 Monaco-Lorient,FRA-L1,22-23,fbddfac1
