id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
89b2c8a9,Dries Mertens,14,BEL,FW,30-148,90,1,1,1,1,5,1,0,0,46,0,0,1,1.0,0.2,0.9,9,2,30,33,90.9,7,36,4,7,4,Napoli,2017-10-01 Napoli-Cagliari,ITA-SERIA_A,17-18,fc468ca5
2f557579,Lorenzo Insigne,24,ITA,LW,26-119,90,0,0,0,0,7,1,0,0,121,0,0,0,0.6,0.6,0.2,9,1,93,109,85.3,13,98,10,2,0,Napoli,2017-10-01 Napoli-Cagliari,ITA-SERIA_A,17-18,fc468ca5
78841da9,José Callejón,7,ESP,RW,30-232,70,0,0,0,0,3,1,0,0,45,0,0,1,0.3,0.3,0.0,4,0,31,41,75.6,3,25,2,1,1,Napoli,2017-10-01 Napoli-Cagliari,ITA-SERIA_A,17-18,fc468ca5
b6b2b820,Marko Rog,30,CRO,"RW,RM",22-074,20,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.0,0,0,21,21,100.0,0,15,0,1,0,Napoli,2017-10-01 Napoli-Cagliari,ITA-SERIA_A,17-18,fc468ca5
e6ad16b2,Marek Hamšík,17,SVK,LM,30-066,90,1,0,0,0,4,1,0,0,134,1,0,0,0.4,0.4,0.0,6,1,120,126,95.2,26,92,3,0,0,Napoli,2017-10-01 Napoli-Cagliari,ITA-SERIA_A,17-18,fc468ca5
45db685d,Jorginho,8,ITA,CM,25-285,90,0,1,0,0,0,0,0,0,124,2,1,0,0.0,0.0,0.4,4,1,117,120,97.5,10,96,1,0,0,Napoli,2017-10-01 Napoli-Cagliari,ITA-SERIA_A,17-18,fc468ca5
cc700722,Allan,5,BRA,RM,26-266,77,0,0,0,0,0,0,0,0,72,1,0,0,0.0,0.0,0.0,1,1,62,68,91.2,8,48,1,6,3,Napoli,2017-10-01 Napoli-Cagliari,ITA-SERIA_A,17-18,fc468ca5
ed90babd,Adam Ounas,37,ALG,"RW,RM",20-324,13,0,0,0,0,1,0,0,0,8,0,0,0,0.0,0.0,0.0,1,0,6,6,100.0,0,5,0,0,0,Napoli,2017-10-01 Napoli-Cagliari,ITA-SERIA_A,17-18,fc468ca5
c5adc293,Faouzi Ghoulam,31,ALG,LB,26-242,86,0,0,0,0,2,0,0,0,120,0,0,1,0.1,0.1,0.2,6,0,103,115,89.6,20,86,5,0,0,Napoli,2017-10-01 Napoli-Cagliari,ITA-SERIA_A,17-18,fc468ca5
