id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
086d7db3,Ivan Santini,19,CRO,FW,29-136,90,0,0,0,0,2,0,0,0,30,0,1,0,0.2,0.2,0.0,0,0,14,23,60.9,1,21,1,0,0,Anderlecht,2018-10-04 Anderlecht-Dinamo Zagreb,UEL,18-19,fe2c060a
b5f63410,Landry Dimata,9,BEL,"FW,LM",21-033,84,0,0,0,0,3,1,0,0,27,1,0,1,0.1,0.1,0.0,0,0,13,14,92.9,2,21,1,0,0,Anderlecht,2018-10-04 Anderlecht-Dinamo Zagreb,UEL,18-19,fe2c060a
78af782c,James Lawrence,3,WAL,LB,26-043,6,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,6,7,85.7,1,5,0,0,0,Anderlecht,2018-10-04 Anderlecht-Dinamo Zagreb,UEL,18-19,fe2c060a
4f0fbd15,Francis Amuzu,40,BEL,"LM,RB,LB",19-042,90,0,0,0,0,0,0,0,0,59,3,1,2,0.0,0.0,0.1,2,0,37,43,86.0,1,34,5,1,0,Anderlecht,2018-10-04 Anderlecht-Dinamo Zagreb,UEL,18-19,fe2c060a
6d1d3dc3,Yevhen Makarenko,5,UKR,CM,27-136,90,0,0,0,0,1,0,0,0,62,4,1,3,0.0,0.0,0.0,2,0,39,51,76.5,6,29,4,1,1,Anderlecht,2018-10-04 Anderlecht-Dinamo Zagreb,UEL,18-19,fe2c060a
ad1d334f,Adrien Trebel,25,FRA,CM,27-215,90,0,0,0,0,0,0,0,0,88,8,2,2,0.0,0.0,0.2,6,0,53,71,74.6,7,35,1,3,1,Anderlecht,2018-10-04 Anderlecht-Dinamo Zagreb,UEL,18-19,fe2c060a
ec3efd7f,Zakaria Bakkali,99,BEL,RM,22-251,88,0,0,0,0,3,1,0,0,46,0,0,0,0.1,0.1,0.0,5,0,21,34,61.8,3,35,4,2,1,Anderlecht,2018-10-04 Anderlecht-Dinamo Zagreb,UEL,18-19,fe2c060a
e85ec097,Ryota Morioka,10,JPN,RM,27-175,2,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,Anderlecht,2018-10-04 Anderlecht-Dinamo Zagreb,UEL,18-19,fe2c060a
d3bd981b,Antonio Milić,44,CRO,"CB,LB",24-208,90,0,0,0,0,2,0,0,0,64,0,1,1,0.1,0.1,0.0,1,0,49,60,81.7,9,37,0,0,0,Anderlecht,2018-10-04 Anderlecht-Dinamo Zagreb,UEL,18-19,fe2c060a
586b19eb,Bubacarr Sanneh,4,GAM,CB,23-324,90,0,0,0,0,0,0,0,0,60,1,2,0,0.0,0.0,0.0,0,0,54,55,98.2,9,30,1,0,0,Anderlecht,2018-10-04 Anderlecht-Dinamo Zagreb,UEL,18-19,fe2c060a
b8ae831b,Ognjen Vranješ,55,BIH,CB,28-345,45,0,0,0,0,0,0,2,1,28,1,0,0,0.0,0.0,0.0,0,0,19,26,73.1,3,18,1,0,0,Anderlecht,2018-10-04 Anderlecht-Dinamo Zagreb,UEL,18-19,fe2c060a
f8280175,Andy Najar,7,HON,RB,25-202,65,0,0,0,0,0,0,0,0,54,1,3,1,0.0,0.0,0.0,1,0,35,45,77.8,3,24,2,2,1,Anderlecht,2018-10-04 Anderlecht-Dinamo Zagreb,UEL,18-19,fe2c060a
8821f471,Kenny Saief,15,USA,"LB,LM,RB",24-291,25,0,0,0,0,0,0,0,0,25,1,2,0,0.0,0.0,0.0,1,0,14,15,93.3,3,16,2,3,1,Anderlecht,2018-10-04 Anderlecht-Dinamo Zagreb,UEL,18-19,fe2c060a
a3d524cb,Thomas Didillon,16,FRA,GK,22-310,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,20,30,66.7,0,12,0,0,0,Anderlecht,2018-10-04 Anderlecht-Dinamo Zagreb,UEL,18-19,fe2c060a
24228180,Bruno Petković,21,CRO,FW,24-018,90,0,0,0,0,0,0,0,0,51,3,0,1,0.0,0.0,0.4,4,1,19,29,65.5,5,26,0,0,0,Dinamo Zagreb,2018-10-04 Anderlecht-Dinamo Zagreb,UEL,18-19,fe2c060a
ee950928,Mislav Oršić,99,CRO,LM,25-279,88,0,0,0,0,5,3,0,0,47,4,1,0,0.3,0.3,0.2,4,1,24,30,80.0,3,18,3,4,2,Dinamo Zagreb,2018-10-04 Anderlecht-Dinamo Zagreb,UEL,18-19,fe2c060a
aad9c3f3,Mario Gavranović,11,SUI,LM,28-314,2,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,1,3,1,0,0,Dinamo Zagreb,2018-10-04 Anderlecht-Dinamo Zagreb,UEL,18-19,fe2c060a
ae44e8e2,Dani Olmo,7,ESP,"CM,RM",20-150,90,0,1,0,0,2,2,0,0,49,0,1,0,0.1,0.1,0.1,8,1,27,38,71.1,4,29,6,3,2,Dinamo Zagreb,2018-10-04 Anderlecht-Dinamo Zagreb,UEL,18-19,fe2c060a
51ffa295,Amer Gojak,14,BIH,CM,21-233,90,1,0,0,0,2,2,0,0,50,0,2,0,0.3,0.3,0.1,3,0,30,38,78.9,6,23,2,1,1,Dinamo Zagreb,2018-10-04 Anderlecht-Dinamo Zagreb,UEL,18-19,fe2c060a
55537f53,Izet Hajrović,8,BIH,RM,27-061,75,1,0,1,1,3,2,1,0,22,0,0,0,1.1,0.3,0.0,0,0,11,15,73.3,0,7,0,0,0,Dinamo Zagreb,2018-10-04 Anderlecht-Dinamo Zagreb,UEL,18-19,fe2c060a
e18098de,Ivan Šunjić,34,CRO,CM,21-360,15,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.1,1,0,5,7,71.4,1,4,0,0,0,Dinamo Zagreb,2018-10-04 Anderlecht-Dinamo Zagreb,UEL,18-19,fe2c060a
ee926a02,Arijan Ademi,5,MKD,DM,27-128,90,0,0,0,0,1,0,1,0,22,2,1,0,0.1,0.1,0.0,0,0,9,13,69.2,1,5,0,0,0,Dinamo Zagreb,2018-10-04 Anderlecht-Dinamo Zagreb,UEL,18-19,fe2c060a
4b3e1a38,Amir Rrahmani,13,KVX,LB,24-222,90,0,0,0,0,1,0,0,0,51,4,0,3,0.0,0.0,0.0,1,0,21,34,61.8,2,13,1,0,0,Dinamo Zagreb,2018-10-04 Anderlecht-Dinamo Zagreb,UEL,18-19,fe2c060a
db3cb6ee,Emir Dilaver,66,AUT,CB,27-150,45,0,0,0,0,0,0,0,0,14,1,1,1,0.0,0.0,0.0,0,0,9,10,90.0,0,3,0,0,0,Dinamo Zagreb,2018-10-04 Anderlecht-Dinamo Zagreb,UEL,18-19,fe2c060a
121101a4,Dino Perić,55,CRO,CB,24-084,45,0,0,0,0,0,0,0,0,13,1,2,0,0.0,0.0,0.0,0,0,6,7,85.7,0,5,0,0,0,Dinamo Zagreb,2018-10-04 Anderlecht-Dinamo Zagreb,UEL,18-19,fe2c060a
6b994195,Kévin Théophile-Catherine,28,FRA,CB,28-341,89,0,0,0,0,0,0,2,1,26,0,1,1,0.0,0.0,0.0,0,0,13,18,72.2,1,9,0,0,0,Dinamo Zagreb,2018-10-04 Anderlecht-Dinamo Zagreb,UEL,18-19,fe2c060a
13b44b02,Petar Stojanović,30,SVN,RB,22-362,90,0,0,0,0,0,0,1,0,47,3,0,0,0.0,0.0,0.0,0,0,27,37,73.0,1,19,0,1,0,Dinamo Zagreb,2018-10-04 Anderlecht-Dinamo Zagreb,UEL,18-19,fe2c060a
58f077c0,Dominik Livaković,40,CRO,GK,23-268,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,15,33,45.5,0,14,0,0,0,Dinamo Zagreb,2018-10-04 Anderlecht-Dinamo Zagreb,UEL,18-19,fe2c060a
