id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
7dcf86f6,Iago Aspas,10,ESP,FW,33-254,90,2,0,1,1,2,2,1,0,47,0,0,1,1.2,0.5,0.2,3,0,27,37,73.0,2,27,3,3,3,Celta Vigo,2021-04-12 Celta Vigo-Sevilla,ESP-LALIGA,20-21,fe809328
0b90bb97,Santi Mina,22,ESP,FW,25-126,26,0,0,0,0,0,0,0,0,4,0,0,1,0.0,0.0,0.0,1,1,2,2,100.0,0,2,0,1,0,Celta Vigo,2021-04-12 Celta Vigo-Sevilla,ESP-LALIGA,20-21,fe809328
b39a793e,Facundo Ferreyra,12,ARG,FW,30-029,56,0,0,0,0,1,1,0,0,13,0,0,0,0.4,0.4,0.0,1,0,3,8,37.5,0,5,0,1,0,Celta Vigo,2021-04-12 Celta Vigo-Sevilla,ESP-LALIGA,20-21,fe809328
ed5c5fa3,Fran Beltrán,8,ESP,FW,22-068,8,0,0,0,0,1,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,12,12,100.0,1,10,0,0,0,Celta Vigo,2021-04-12 Celta Vigo-Sevilla,ESP-LALIGA,20-21,fe809328
b2d0ec1b,Nolito,9,ESP,LM,34-179,85,0,0,0,0,1,0,0,0,34,2,2,1,0.0,0.0,0.0,1,1,18,26,69.2,5,20,0,2,2,Celta Vigo,2021-04-12 Celta Vigo-Sevilla,ESP-LALIGA,20-21,fe809328
a98f3cbf,Miguel Baeza,27,ESP,LM,21-016,5,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,1,0,0,0,Celta Vigo,2021-04-12 Celta Vigo-Sevilla,ESP-LALIGA,20-21,fe809328
12c50af5,Denis Suárez,6,ESP,CM,27-096,90,0,2,0,0,0,0,0,0,64,6,1,1,0.0,0.0,0.8,4,1,44,54,81.5,8,42,4,1,1,Celta Vigo,2021-04-12 Celta Vigo-Sevilla,ESP-LALIGA,20-21,fe809328
c9e39d91,Brais Méndez,23,ESP,RM,24-095,90,1,0,0,0,1,1,1,0,39,1,1,1,0.4,0.4,0.1,3,1,23,27,85.2,2,28,2,2,1,Celta Vigo,2021-04-12 Celta Vigo-Sevilla,ESP-LALIGA,20-21,fe809328
34269bdf,Renato Tapia,14,PER,DM,25-258,90,0,0,0,0,1,0,0,0,54,3,2,5,0.2,0.2,0.0,0,0,35,42,83.3,3,39,1,1,1,Celta Vigo,2021-04-12 Celta Vigo-Sevilla,ESP-LALIGA,20-21,fe809328
2f3e911a,Aarón Martín,19,ESP,LB,23-355,90,0,0,0,0,1,0,0,0,43,2,1,0,0.0,0.0,0.0,1,0,26,35,74.3,1,25,3,0,0,Celta Vigo,2021-04-12 Celta Vigo-Sevilla,ESP-LALIGA,20-21,fe809328
1827a42d,José Fontán,29,ESP,CB,21-060,90,0,0,0,0,1,0,0,0,42,1,1,0,0.3,0.3,0.0,1,0,29,33,87.9,2,28,0,0,0,Celta Vigo,2021-04-12 Celta Vigo-Sevilla,ESP-LALIGA,20-21,fe809328
18abe173,Joseph Aidoo,18,GHA,CB,25-195,90,0,0,0,0,2,0,0,0,45,3,2,1,0.1,0.1,0.0,2,1,27,32,84.4,2,28,0,0,0,Celta Vigo,2021-04-12 Celta Vigo-Sevilla,ESP-LALIGA,20-21,fe809328
cb574619,Hugo Mallo,2,ESP,RB,29-294,90,0,0,0,0,0,0,1,0,54,4,0,0,0.0,0.0,0.0,1,0,33,44,75.0,3,21,1,1,0,Celta Vigo,2021-04-12 Celta Vigo-Sevilla,ESP-LALIGA,20-21,fe809328
cde52ef5,Iván Villar,1,ESP,GK,23-277,90,0,0,0,0,0,0,0,0,43,0,0,0,0.0,0.0,0.0,0,0,19,40,47.5,0,21,0,0,0,Celta Vigo,2021-04-12 Celta Vigo-Sevilla,ESP-LALIGA,20-21,fe809328
04e17fd5,Youssef En-Nesyri,15,MAR,FW,23-315,63,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,7,11,63.6,0,7,0,0,0,Sevilla,2021-04-12 Celta Vigo-Sevilla,ESP-LALIGA,20-21,fe809328
abb3bb95,Luuk de Jong,9,NED,FW,30-228,27,0,0,0,0,1,1,0,0,16,0,0,0,0.0,0.0,0.0,3,0,7,11,63.6,1,10,0,3,2,Sevilla,2021-04-12 Celta Vigo-Sevilla,ESP-LALIGA,20-21,fe809328
a08b974a,Lucas Ocampos,5,ARG,LW,26-275,90,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,2,1,24,29,82.8,5,27,2,4,1,Sevilla,2021-04-12 Celta Vigo-Sevilla,ESP-LALIGA,20-21,fe809328
4e219ad2,Suso,7,ESP,RW,27-144,66,0,1,0,0,1,1,0,0,37,1,1,0,0.0,0.0,0.1,3,2,23,30,76.7,4,26,1,2,2,Sevilla,2021-04-12 Celta Vigo-Sevilla,ESP-LALIGA,20-21,fe809328
6e4df551,Papu Gómez,24,ARG,"RW,LM",33-056,24,1,0,0,0,2,1,0,0,23,0,0,1,0.1,0.1,0.4,2,0,17,21,81.0,2,16,2,0,0,Sevilla,2021-04-12 Celta Vigo-Sevilla,ESP-LALIGA,20-21,fe809328
89f951b5,Ivan Rakitić,10,CRO,LM,33-033,85,1,0,0,0,2,1,0,0,74,1,1,2,0.6,0.6,0.0,2,0,46,58,79.3,4,47,2,2,0,Sevilla,2021-04-12 Celta Vigo-Sevilla,ESP-LALIGA,20-21,fe809328
