id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
61b0b44d,Sandro Wagner,14,GER,FW,29-292,60,1,0,0,0,2,2,0,0,27,1,0,0,0.1,0.1,0.0,0,0,11,18,61.1,0,18,0,0,0,Hoffenheim,2017-09-17 Hoffenheim-Hertha BSC,GER-BL1,17-18,ff315c8d
a3ddb1b9,Mark Uth,19,GER,FW,26-024,30,0,0,0,0,2,0,0,0,7,0,0,0,0.2,0.2,0.0,0,0,2,4,50.0,0,7,0,0,0,Hoffenheim,2017-09-17 Hoffenheim-Hertha BSC,GER-BL1,17-18,ff315c8d
555d5edd,Nadiem Amiri,18,GER,AM,20-325,90,0,0,0,0,0,0,0,0,51,1,0,0,0.0,0.0,0.1,2,0,31,39,79.5,2,32,3,6,0,Hoffenheim,2017-09-17 Hoffenheim-Hertha BSC,GER-BL1,17-18,ff315c8d
603cb947,Andrej Kramarić,27,CRO,AM,26-090,90,0,1,0,0,2,0,0,0,41,0,0,0,0.1,0.1,0.1,1,1,28,34,82.4,5,33,2,2,0,Hoffenheim,2017-09-17 Hoffenheim-Hertha BSC,GER-BL1,17-18,ff315c8d
37f606f0,Dennis Geiger,32,GER,CM,19-099,90,0,0,0,0,0,0,0,0,65,3,1,1,0.0,0.0,0.0,1,0,54,59,91.5,2,37,0,1,1,Hoffenheim,2017-09-17 Hoffenheim-Hertha BSC,GER-BL1,17-18,ff315c8d
54b4dc4e,Kerem Demirbay,10,GER,CM,24-076,90,0,0,0,0,0,0,0,0,66,4,0,0,0.0,0.0,0.2,4,1,43,59,72.9,3,28,1,3,1,Hoffenheim,2017-09-17 Hoffenheim-Hertha BSC,GER-BL1,17-18,ff315c8d
b6a6e0a7,Steven Zuber,17,SUI,WB,26-031,81,0,0,0,0,0,0,1,0,67,2,2,1,0.0,0.0,0.0,1,0,56,60,93.3,4,37,0,1,0,Hoffenheim,2017-09-17 Hoffenheim-Hertha BSC,GER-BL1,17-18,ff315c8d
fa274d97,Nico Schulz,16,GER,WB,24-169,9,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,9,11,81.8,2,6,2,0,0,Hoffenheim,2017-09-17 Hoffenheim-Hertha BSC,GER-BL1,17-18,ff315c8d
79c90e45,Pavel Kadeřábek,3,CZE,WB,25-145,73,0,0,0,0,0,0,0,0,47,0,1,0,0.0,0.0,0.1,1,0,37,44,84.1,4,33,3,1,0,Hoffenheim,2017-09-17 Hoffenheim-Hertha BSC,GER-BL1,17-18,ff315c8d
5c899683,Felix Passlack,31,GER,WB,19-111,17,0,0,0,0,0,0,0,0,13,1,0,0,0.0,0.0,0.0,1,0,10,12,83.3,1,7,0,0,0,Hoffenheim,2017-09-17 Hoffenheim-Hertha BSC,GER-BL1,17-18,ff315c8d
99de6b6f,Benjamin Hübner,21,GER,CB,28-075,90,0,0,0,0,1,0,1,0,110,2,0,1,0.1,0.1,0.0,1,0,90,100,90.0,6,67,4,0,0,Hoffenheim,2017-09-17 Hoffenheim-Hertha BSC,GER-BL1,17-18,ff315c8d
1d8e9add,Kevin Vogt,22,GER,CB,25-359,90,0,0,0,0,1,0,0,0,103,1,1,1,0.0,0.0,0.0,1,0,92,98,93.9,6,62,1,0,0,Hoffenheim,2017-09-17 Hoffenheim-Hertha BSC,GER-BL1,17-18,ff315c8d
6cafd68d,Håvard Nordtveit,6,NOR,CB,27-088,90,0,0,0,0,0,0,0,0,100,3,1,5,0.0,0.0,0.0,3,0,78,85,91.8,14,58,2,0,0,Hoffenheim,2017-09-17 Hoffenheim-Hertha BSC,GER-BL1,17-18,ff315c8d
47064058,Oliver Baumann,1,GER,GK,27-107,90,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,21,29,72.4,0,13,0,0,0,Hoffenheim,2017-09-17 Hoffenheim-Hertha BSC,GER-BL1,17-18,ff315c8d
b48215cd,Alexander Esswein,7,GER,FW,27-176,87,1,0,0,0,2,2,0,0,38,3,3,0,0.2,0.2,0.1,2,0,17,28,60.7,1,22,4,0,0,Hertha BSC,2017-09-17 Hoffenheim-Hertha BSC,GER-BL1,17-18,ff315c8d
