id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
57be54ec,Asier Villalibre,25,ESP,FW,22-125,66,0,0,0,0,1,1,0,0,16,0,0,0,0.1,0.1,0.0,0,0,7,10,70.0,0,9,0,2,1,Athletic Club,2020-02-02 Athletic Club-Getafe,ESP-LALIGA,19-20,ff79bec1
293211e1,Aritz Aduriz,20,ESP,FW,38-356,24,0,0,0,0,2,1,0,0,11,0,0,0,0.6,0.6,0.0,1,0,2,8,25.0,1,5,0,1,1,Athletic Club,2020-02-02 Athletic Club-Getafe,ESP-LALIGA,19-20,ff79bec1
c05dfb74,Iker Muniain,10,ESP,"LW,CM",27-045,90,0,0,0,0,0,0,0,0,60,1,0,0,0.0,0.0,0.0,2,0,48,57,84.2,3,31,1,2,1,Athletic Club,2020-02-02 Athletic Club-Getafe,ESP-LALIGA,19-20,ff79bec1
6a99e0b1,Iñaki Williams,9,GHA,"RW,RM",25-232,90,0,0,0,0,0,0,0,0,27,2,0,0,0.0,0.0,0.6,3,0,14,20,70.0,4,14,2,2,1,Athletic Club,2020-02-02 Athletic Club-Getafe,ESP-LALIGA,19-20,ff79bec1
b418dbd4,Raúl García,22,ESP,"AM,CM",33-206,90,0,0,0,0,0,0,0,0,55,0,3,0,0.0,0.0,0.0,0,0,28,45,62.2,11,14,0,3,1,Athletic Club,2020-02-02 Athletic Club-Getafe,ESP-LALIGA,19-20,ff79bec1
88050721,Unai López,8,ESP,DM,24-095,67,0,0,0,0,0,0,0,0,64,0,1,0,0.0,0.0,0.1,2,0,53,62,85.5,5,30,1,0,0,Athletic Club,2020-02-02 Athletic Club-Getafe,ESP-LALIGA,19-20,ff79bec1
9d2a3d5f,Ibai Gómez,19,ESP,LM,30-083,23,0,0,0,0,1,0,0,0,20,0,0,1,0.1,0.1,0.1,1,0,13,17,76.5,1,11,0,1,1,Athletic Club,2020-02-02 Athletic Club-Getafe,ESP-LALIGA,19-20,ff79bec1
240d3a0b,Dani García,14,ESP,DM,29-254,90,0,0,0,0,1,0,0,0,77,0,0,1,0.0,0.0,0.0,0,0,65,73,89.0,6,40,0,2,2,Athletic Club,2020-02-02 Athletic Club-Getafe,ESP-LALIGA,19-20,ff79bec1
b6e50615,Yuri Berchiche,17,ESP,LB,29-357,90,0,0,0,0,2,0,1,0,86,2,2,0,0.1,0.1,0.0,2,0,58,72,80.6,4,53,0,1,1,Athletic Club,2020-02-02 Athletic Club-Getafe,ESP-LALIGA,19-20,ff79bec1
