Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,season,team,id
2023-08-14,20:00:00,Premier League,Matchweek 1,Mon,Away,L,0,1,Manchester Utd,2.2,2.2,49,73358,Max Kilman,4-4-2,4-1-4-1,Simon Hooper,/en/matches/f1ecda2c/Manchester-United-Wolverhampton-Wanderers-August-14-2023-Premier-League,,23-24,Wolves,8cec06e1
2023-08-19,15:00:00,Premier League,Matchweek 2,Sat,Home,L,1,4,Brighton,2.1,2.2,47,31317,Max Kilman,4-4-1-1,4-2-3-1,Andy Madley,/en/matches/d7c606ec/Wolverhampton-Wanderers-Brighton-and-Hove-Albion-August-19-2023-Premier-League,,23-24,Wolves,8cec06e1
2023-08-26,15:00:00,Premier League,Matchweek 3,Sat,Away,W,1,0,Everton,1.1,1.3,53,38851,Max Kilman,4-4-1-1,4-1-4-1,Craig Pawson,/en/matches/18dfee28/Everton-Wolverhampton-Wanderers-August-26-2023-Premier-League,,23-24,Wolves,8cec06e1
2023-08-29,19:45:00,EFL Cup,Second round,Tue,Home,W,5,0,Blackpool,,,72,20605,Max Kilman,3-5-2,3-5-2,Jarred Gillett,/en/matches/9d04868d/Wolverhampton-Wanderers-Blackpool-August-29-2023-EFL-Cup,,23-24,Wolves,8cec06e1
2023-09-03,14:00:00,Premier League,Matchweek 4,Sun,Away,L,2,3,Crystal Palace,1.2,2.1,57,24741,Max Kilman,4-4-2,4-3-3,Robert Jones,/en/matches/f9436d32/Crystal-Palace-Wolverhampton-Wanderers-September-3-2023-Premier-League,,23-24,Wolves,8cec06e1
2023-09-16,12:30:00,Premier League,Matchweek 5,Sat,Home,L,1,3,Liverpool,0.6,2.5,35,31257,Max Kilman,4-2-3-1,4-3-3,Michael Oliver,/en/matches/38daebd2/Wolverhampton-Wanderers-Liverpool-September-16-2023-Premier-League,,23-24,Wolves,8cec06e1
2023-09-23,15:00:00,Premier League,Matchweek 6,Sat,Away,D,1,1,Luton Town,0.6,2.1,43,10893,Max Kilman,4-2-3-1,3-4-3,Joshua Smith,/en/matches/76a1421e/Luton-Town-Wolverhampton-Wanderers-September-23-2023-Premier-League,,23-24,Wolves,8cec06e1
2023-09-26,19:45:00,EFL Cup,Third round,Tue,Away,L,2,3,Ipswich Town,,,57,20236,Daniel Bentley,3-4-3,4-2-3-1,Samuel Barrott,/en/matches/42b942aa/Ipswich-Town-Wolverhampton-Wanderers-September-26-2023-EFL-Cup,,23-24,Wolves,8cec06e1
2023-09-30,15:00:00,Premier League,Matchweek 7,Sat,Home,W,2,1,Manchester City,0.4,0.9,32,31415,Max Kilman,3-4-3,4-2-3-1,Craig Pawson,/en/matches/60ce29cd/Wolverhampton-Wanderers-Manchester-City-September-30-2023-Premier-League,,23-24,Wolves,8cec06e1
2023-10-08,14:00:00,Premier League,Matchweek 8,Sun,Home,D,1,1,Aston Villa,1.7,1.6,47,31425,Max Kilman,3-4-3,4-4-2,Robert Jones,/en/matches/3292ed35/Wolverhampton-Wanderers-Aston-Villa-October-8-2023-Premier-League,,23-24,Wolves,8cec06e1
2023-10-21,15:00:00,Premier League,Matchweek 9,Sat,Away,W,2,1,Bournemouth,2.4,0.6,65,11175,Max Kilman,3-4-3,4-2-3-1,Paul Tierney,/en/matches/007b352e/Bournemouth-Wolverhampton-Wanderers-October-21-2023-Premier-League,,23-24,Wolves,8cec06e1
2023-10-28,17:30:00,Premier League,Matchweek 10,Sat,Home,D,2,2,Newcastle Utd,0.9,2.2,43,31584,Max Kilman,4-4-2,4-3-3,Anthony Taylor,/en/matches/b84d060a/Wolverhampton-Wanderers-Newcastle-United-October-28-2023-Premier-League,,23-24,Wolves,8cec06e1
2023-11-04,15:00:00,Premier League,Matchweek 11,Sat,Away,L,1,2,Sheffield Utd,1.2,1.0,61,29454,Max Kilman,4-4-1-1,3-4-1-2,Robert Jones,/en/matches/e841bbac/Sheffield-United-Wolverhampton-Wanderers-November-4-2023-Premier-League,,23-24,Wolves,8cec06e1
2023-11-11,12:30:00,Premier League,Matchweek 12,Sat,Home,W,2,1,Tottenham,2.1,0.7,42,31642,Max Kilman,3-5-2,4-3-3,Tim Robinson,/en/matches/1634f066/Wolverhampton-Wanderers-Tottenham-Hotspur-November-11-2023-Premier-League,,23-24,Wolves,8cec06e1
2023-11-27,20:00:00,Premier League,Matchweek 13,Mon,Away,L,2,3,Fulham,1.4,2.9,40,24366,Max Kilman,3-5-2,4-2-3-1,Michael Salisbury,/en/matches/b19cc422/Fulham-Wolverhampton-Wanderers-November-27-2023-Premier-League,,23-24,Wolves,8cec06e1
2023-12-02,15:00:00,Premier League,Matchweek 14,Sat,Away,L,1,2,Arsenal,0.7,2.8,43,60262,Max Kilman,3-5-2,4-3-3,Peter Bankes,/en/matches/6e65df8e/Arsenal-Wolverhampton-Wanderers-December-2-2023-Premier-League,,23-24,Wolves,8cec06e1
2023-12-05,19:30:00,Premier League,Matchweek 15,Tue,Home,W,1,0,Burnley,0.8,0.9,51,30439,Max Kilman,3-4-3,4-4-2,Jarred Gillett,/en/matches/a52ffb27/Wolverhampton-Wanderers-Burnley-December-5-2023-Premier-League,,23-24,Wolves,8cec06e1
2023-12-09,15:00:00,Premier League,Matchweek 16,Sat,Home,D,1,1,Nott'ham Forest,1.2,1.3,68,31543,Max Kilman,3-4-3,3-5-2,Samuel Barrott,/en/matches/8c8fdba5/Wolverhampton-Wanderers-Nottingham-Forest-December-9-2023-Premier-League,,23-24,Wolves,8cec06e1
2023-12-17,14:00:00,Premier League,Matchweek 17,Sun,Away,L,0,3,West Ham,0.7,1.1,55,62455,Max Kilman,3-4-3,4-2-3-1,Chris Kavanagh,/en/matches/5f5bc7b3/West-Ham-United-Wolverhampton-Wanderers-December-17-2023-Premier-League,,23-24,Wolves,8cec06e1
2023-12-24,13:00:00,Premier League,Matchweek 18,Sun,Home,W,2,1,Chelsea,1.3,2.0,32,31641,Max Kilman,3-4-3,4-2-3-1,David Coote,/en/matches/8c0b314c/Wolverhampton-Wanderers-Chelsea-December-24-2023-Premier-League,,23-24,Wolves,8cec06e1
2023-12-27,19:30:00,Premier League,Matchweek 19,Wed,Away,W,4,1,Brentford,2.4,2.2,40,17109,Max Kilman,3-4-3,4-3-3,Andy Madley,/en/matches/ea28d527/Brentford-Wolverhampton-Wanderers-December-27-2023-Premier-League,,23-24,Wolves,8cec06e1
2023-12-30,15:00:00,Premier League,Matchweek 20,Sat,Home,W,3,0,Everton,1.9,0.4,53,31639,Max Kilman,3-4-3,5-4-1,Thomas Bramall,/en/matches/7dfc59ca/Wolverhampton-Wanderers-Everton-December-30-2023-Premier-League,,23-24,Wolves,8cec06e1
2024-01-05,19:15:00,FA Cup,Third round proper,Fri,Away,D,1,1,Brentford,,,,16818,Max Kilman,3-4-3,3-5-2,Tony Harrington,/en/matches/ce4ab52c/Brentford-Wolverhampton-Wanderers-January-5-2024-FA-Cup,,23-24,Wolves,8cec06e1
2024-01-16,19:30:00,FA Cup,Third round proper,Tue,Home,W,3,2,Brentford,,,,24692,Max Kilman,3-4-3,3-5-2,Andy Madley,/en/matches/b07a4363/Wolverhampton-Wanderers-Brentford-January-16-2024-FA-Cup,Required Extra Time,23-24,Wolves,8cec06e1
2024-01-22,19:45:00,Premier League,Matchweek 21,Mon,Away,D,0,0,Brighton,1.1,1.0,28,41505,Max Kilman,3-4-3,4-3-3,Craig Pawson,/en/matches/35fb5bc2/Brighton-and-Hove-Albion-Wolverhampton-Wanderers-January-22-2024-Premier-League,,23-24,Wolves,8cec06e1
2024-01-28,11:45:00,FA Cup,Fourth round proper,Sun,Away,W,2,0,West Brom,,,49,25013,Max Kilman,3-4-3,4-1-4-1,Thomas Bramall,/en/matches/2a3327b0/West-Bromwich-Albion-Wolverhampton-Wanderers-January-28-2024-FA-Cup,,23-24,Wolves,8cec06e1
2024-02-01,20:15:00,Premier League,Matchweek 22,Thu,Home,L,3,4,Manchester Utd,2.1,3.3,53,31641,Max Kilman,3-4-3,4-2-3-1,Jarred Gillett,/en/matches/457203bc/Wolverhampton-Wanderers-Manchester-United-February-1-2024-Premier-League,,23-24,Wolves,8cec06e1
