id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 26_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,league,season
b1e5bbec,1,Ángel,ESP,GK,Granada,18,2002,1,1,90,1.0,2,2.0,9,6,88.9,0,0,1,0,0.0,2,1,1,0,50.0,Matches,ESP-LALIGA,20-21
9f0ea33f,2,Sergio Asenjo,ESP,GK,Villarreal,31,1989,36,36,3240,36.0,40,1.11,118,79,72.0,15,13,8,10,27.8,9,7,1,1,12.5,Matches,ESP-LALIGA,20-21
e4346678,3,Édgar Badía,ESP,GK,Elche,28,1992,30,30,2700,30.0,46,1.53,141,92,70.9,5,11,14,5,16.7,9,5,3,1,37.5,Matches,ESP-LALIGA,20-21
967f34d3,4,Rubén Blanco,ESP,GK,Celta Vigo,25,1995,19,19,1637,18.2,27,1.48,61,34,57.4,7,6,6,4,21.1,1,1,0,0,0.0,Matches,ESP-LALIGA,20-21
f6798fc3,5,Yassine Bounou,MAR,GK,Sevilla,29,1991,33,33,2970,33.0,28,0.85,106,78,77.4,21,5,7,15,45.5,6,4,2,0,33.3,Matches,ESP-LALIGA,20-21
10072610,6,Claudio Bravo,CHI,GK,Betis,37,1983,20,20,1800,20.0,25,1.25,75,50,72.0,8,8,4,7,35.0,5,4,1,0,20.0,Matches,ESP-LALIGA,20-21
e1846dde,7,Cárdenas,ESP,GK,Levante,23,1997,8,8,720,8.0,11,1.37,39,28,71.8,1,3,4,1,12.5,1,0,0,1,,Matches,ESP-LALIGA,20-21
94084f83,8,Alberto Cifuentes,ESP,GK,Cádiz,41,1979,2,2,180,2.0,3,1.5,6,2,50.0,1,0,1,1,50.0,0,0,0,0,,Matches,ESP-LALIGA,20-21
04ac8285,9,Jasper Cillessen,NED,GK,Valencia,31,1989,10,10,900,10.0,11,1.1,45,33,77.8,5,1,4,3,30.0,2,1,1,0,50.0,Matches,ESP-LALIGA,20-21
1840e36d,10,Thibaut Courtois,BEL,GK,Real Madrid,28,1992,38,38,3420,38.0,28,0.74,116,88,81.9,25,9,4,17,44.7,8,7,1,0,12.5,Matches,ESP-LALIGA,20-21
ac295d9e,11,Marko Dmitrović,SRB,GK,Eibar,28,1992,35,35,3120,34.7,49,1.41,129,79,64.3,6,11,18,9,25.7,5,3,1,1,25.0,Matches,ESP-LALIGA,20-21
c9cb972b,12,Jaume Doménech,ESP,GK,Valencia,29,1990,28,28,2520,28.0,42,1.5,130,88,70.8,5,12,11,4,14.3,6,4,2,0,33.3,Matches,ESP-LALIGA,20-21
67669ce7,13,Aarón Escandell,ESP,GK,Granada,24,1995,5,5,450,5.0,8,1.6,24,16,66.7,1,1,3,1,20.0,0,0,0,0,,Matches,ESP-LALIGA,20-21
0f7dbaf6,14,Jokin Ezkieta,ESP,GK,Athletic Club,23,1996,1,1,90,1.0,2,2.0,3,1,33.3,0,0,1,0,0.0,0,0,0,0,,Matches,ESP-LALIGA,20-21
a01c3d54,15,Aitor Fernández,ESP,GK,Levante,29,1991,29,29,2610,29.0,44,1.52,120,78,65.8,8,11,10,3,10.3,3,3,0,0,0.0,Matches,ESP-LALIGA,20-21
f127d782,16,Álvaro Fernández,ESP,GK,Huesca,22,1998,22,22,1980,22.0,32,1.45,95,64,68.4,5,5,12,5,22.7,2,2,0,0,0.0,Matches,ESP-LALIGA,20-21
307fcd26,17,Andrés Fernández,ESP,GK,Huesca,33,1986,16,16,1440,16.0,21,1.31,54,34,66.7,2,8,6,4,25.0,3,3,0,0,0.0,Matches,ESP-LALIGA,20-21
63d17038,18,Paulo Gazzaniga,ARG,GK,Elche,28,1992,8,8,720,8.0,9,1.13,22,14,63.6,3,1,4,2,25.0,1,1,0,0,0.0,Matches,ESP-LALIGA,20-21
fea23125,19,David Gil,ESP,GK,Cádiz,26,1994,4,4,360,4.0,10,2.5,17,7,47.1,0,1,3,0,0.0,1,1,0,0,0.0,Matches,ESP-LALIGA,20-21
a4995f48,20,Sergio Herrera,ESP,GK,Osasuna,27,1993,33,32,2958,32.9,40,1.22,126,86,71.4,10,8,14,10,31.3,7,4,2,1,33.3,Matches,ESP-LALIGA,20-21
6c4776b1,21,Jeremías Ledesma,ARG,GK,Cádiz,27,1993,32,32,2880,32.0,45,1.41,127,82,70.9,10,10,12,9,28.1,9,8,1,0,11.1,Matches,ESP-LALIGA,20-21
8fae77ea,22,Jordi Masip,ESP,GK,Valladolid,31,1989,25,25,2250,25.0,40,1.6,115,75,68.7,4,9,12,2,8.0,4,4,0,0,0.0,Matches,ESP-LALIGA,20-21
a9dc785c,23,Neto,BRA,GK,Barcelona,31,1989,7,7,630,7.0,6,0.86,24,18,83.3,3,2,2,3,42.9,2,2,0,0,0.0,Matches,ESP-LALIGA,20-21
ee8508c0,24,Jan Oblak,SVN,GK,Atlético Madrid,27,1993,38,38,3420,38.0,25,0.66,122,98,80.3,26,8,4,18,47.4,4,1,2,1,66.7,Matches,ESP-LALIGA,20-21
97852360,25,Fernando Pacheco,ESP,GK,Alavés,28,1992,38,37,3349,37.2,57,1.53,141,84,61.7,9,11,17,9,24.3,3,3,0,0,0.0,Matches,ESP-LALIGA,20-21
8f29e08b,26,Juan Pérez,ESP,GK,Osasuna,24,1996,3,3,270,3.0,3,1.0,8,5,75.0,1,1,1,1,33.3,1,1,0,0,0.0,Matches,ESP-LALIGA,20-21
374ee424,27,Álex Remiro,ESP,GK,Real Sociedad,25,1995,38,38,3420,38.0,38,1.0,105,67,66.7,17,11,10,14,36.8,5,3,1,1,25.0,Matches,ESP-LALIGA,20-21
ba3ca78f,28,Roberto,ESP,GK,Valladolid,34,1986,13,13,1170,13.0,17,1.31,46,29,67.4,1,7,5,1,7.7,3,2,0,1,0.0,Matches,ESP-LALIGA,20-21
cda0b317,29,Joel Robles,ESP,GK,Betis,30,1990,18,18,1620,18.0,25,1.39,61,37,65.6,9,2,7,6,33.3,5,4,1,0,20.0,Matches,ESP-LALIGA,20-21
24279b8b,30,Rubén,ESP,GK,Osasuna,36,1984,3,3,187,2.1,5,2.41,8,3,37.5,0,2,1,0,0.0,0,0,0,0,,Matches,ESP-LALIGA,20-21
625c144a,31,Gerónimo Rulli,ARG,GK,Villarreal,28,1992,2,2,180,2.0,4,2.0,8,4,50.0,0,0,2,0,0.0,0,0,0,0,,Matches,ESP-LALIGA,20-21
ea83bfa6,32,Rui Silva,POR,GK,Granada,26,1994,32,32,2880,32.0,55,1.72,137,79,63.5,12,6,14,8,25.0,10,5,4,1,44.4,Matches,ESP-LALIGA,20-21
5dcf3e90,33,Unai Simón,ESP,GK,Athletic Club,23,1997,37,37,3330,37.0,40,1.08,108,68,67.6,11,13,13,9,24.3,6,5,1,0,16.7,Matches,ESP-LALIGA,20-21
9970da54,34,Antonio Sivera,ESP,GK,Alavés,23,1996,1,1,71,0.8,,,1,1,,,,1,,,,,,,,Matches,ESP-LALIGA,20-21
