id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 29_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches,league,season
7310786d,1,Keyliane Abdallah,FRA,FW,Marseille,17,2006,1,4,4,0.1,0.0,0,,0,1,4,1,1.0,1,0,1,22.5,22.21,0.2,0.0,0.2,4.03,3.46,Matches,FRA-L1,23-24
32c2d95f,2,Yunis Abdelhamid,MAR,DF,Reims,35,1987,31,2781,90,90.9,30.9,31,90,30,0,,0,1.29,37,46,-9,-0.29,-1.58,39.2,43.7,-4.5,-0.14,-0.97,Matches,FRA-L1,23-24
82464ce3,3,Salis Abdul Samed,GHA,MF,Lens,23,2000,27,1519,56,49.6,16.9,17,81,11,10,15,4,1.74,20,18,2,0.12,-0.23,24.6,24.2,0.4,0.02,-0.39,Matches,FRA-L1,23-24
5b7aa908,4,Adam Abeddou,FRA,MF,Lens,26,1996,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,FRA-L1,23-24
31626657,5,Laurent Abergel,FRA,MF,Lorient,30,1993,33,2860,87,93.5,31.8,32,89,29,1,23,0,0.88,41,59,-18,-0.57,1.68,34.8,50.1,-15.3,-0.48,0.37,Matches,FRA-L1,23-24
0e46fa2f,6,Matthis Abline,FRA,FW,Rennes,20,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,FRA-L1,23-24
0e46fa2f,7,Matthis Abline,FRA,FW,Nantes,20,2003,22,1044,47,34.1,11.6,12,72,1,10,18,5,0.95,11,17,-6,-0.52,0.33,14.9,15.5,-0.6,-0.05,0.61,Matches,FRA-L1,23-24
c2a6033c,8,Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,23,2000,13,754,58,24.6,8.4,9,74,1,4,21,0,1.54,11,10,1,0.12,0.31,8.1,13.4,-5.3,-0.64,-0.54,Matches,FRA-L1,23-24
1e93fc5d,9,Mohamed Achi,FRA,MF,Nantes,21,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,FRA-L1,23-24
77816c91,10,Bénie Adama Traore,CIV,"FW,MF",Nantes,20,2002,14,504,36,16.5,5.6,4,67,0,10,24,1,0.79,5,12,-7,-1.25,-0.62,6.5,9.4,-2.9,-0.51,-0.07,Matches,FRA-L1,23-24
2ccd39ed,11,Akor Adams,NGA,FW,Montpellier,23,2000,32,2252,70,73.6,25.0,27,80,10,5,21,1,1.22,29,32,-3,-0.12,0.1,32.6,35.3,-2.7,-0.11,0.13,Matches,FRA-L1,23-24
