id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 29_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches,league,season
565bf0da,1,David Abraham,ARG,DF,Eint Frankfurt,32,1986,17,1420,84,46.4,15.8,17,84,15,0,,3,1.35,28,29,-1,-0.06,-0.78,25.9,26.6,-0.6,-0.04,-0.43,Matches,GER-BL1,18-19
1c08a3c8,2,Amir Abrashi,ALB,MF,Freiburg,28,1990,10,790,79,25.8,8.8,9,85,7,1,22,2,1.2,10,15,-5,-0.57,-0.17,8.0,16.2,-8.2,-0.93,-0.45,Matches,GER-BL1,18-19
2b09d998,3,Tyler Adams,USA,MF,RB Leipzig,19,1999,10,721,72,23.6,8.0,8,85,6,2,23,1,2.1,18,2,16,2.0,1.3,17.3,6.9,10.4,1.3,0.73,Matches,GER-BL1,18-19
54507986,4,Antonis Aidonis,GER,DF,Stuttgart,17,2001,2,80,40,2.6,0.9,1,80,0,1,0,4,1.5,0,2,-2,-2.25,-1.16,0.4,1.3,-0.9,-0.98,-0.4,Matches,GER-BL1,18-19
89ac64a6,5,Manuel Akanji,SUI,DF,Dortmund,23,1995,25,2205,88,72.1,24.5,25,88,24,0,,0,2.28,60,35,25,1.02,-0.24,43.2,30.3,12.9,0.52,-0.39,Matches,GER-BL1,18-19
debc2f28,6,Chadrac Akolo,COD,"MF,FW",Stuttgart,23,1995,16,525,33,17.2,5.8,5,66,0,11,18,5,0.94,7,12,-5,-0.86,0.31,6.4,8.5,-2.2,-0.37,0.26,Matches,GER-BL1,18-19
6ec6fde0,7,Kevin Akpoguma,NGA,DF,Hoffenheim,23,1995,8,499,62,16.3,5.5,5,86,4,3,24,2,1.63,11,12,-1,-0.18,-0.85,9.9,12.3,-2.4,-0.44,-1.34,Matches,GER-BL1,18-19
6ec6fde0,8,Kevin Akpoguma,NGA,DF,Hannover 96,23,1995,4,313,78,10.2,3.5,4,78,3,0,,0,0.75,1,9,-8,-2.3,-1.25,2.3,7.1,-4.7,-1.36,-0.51,Matches,GER-BL1,18-19
05439de2,9,David Alaba,AUT,DF,Bayern Munich,26,1992,31,2530,82,82.7,28.1,29,85,24,2,27,0,2.29,71,27,44,1.57,-0.47,68.4,23.6,44.9,1.6,-0.7,Matches,GER-BL1,18-19
834d0be5,10,Lucas Alario,ARG,"FW,MF",Leverkusen,25,1992,27,1265,47,41.3,14.1,11,83,5,16,22,6,1.7,33,16,17,1.21,1.21,22.9,18.3,4.7,0.33,-0.15,Matches,GER-BL1,18-19
d459281d,11,Miiko Albornoz,CHI,"DF,MF",Hannover 96,27,1990,22,1660,75,54.2,18.4,19,85,16,3,15,6,0.55,19,44,-25,-1.36,-0.39,18.1,37.6,-19.6,-1.06,-0.35,Matches,GER-BL1,18-19
a7a9d95a,12,Paco Alcácer,ESP,FW,Dortmund,24,1993,26,1211,47,39.6,13.5,11,78,3,15,23,2,2.35,42,21,21,1.56,0.78,27.1,12.6,14.5,1.08,0.74,Matches,GER-BL1,18-19
