id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 24_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,league,season
b96b595c,1,Francesco Acerbi,ITA,DF,Lazio,31,1988,35.1,4,0,0,26,41,5,26,42,29,1,0,0,179,56,32,63.6,Matches,ITA-SERIA_A,19-20
3ed84b2c,2,Bobby Adekanye,NED,FW,Lazio,20,1999,2.1,1,0,0,2,3,1,1,2,2,0,0,0,6,1,4,20.0,Matches,ITA-SERIA_A,19-20
ce5b170a,3,Claud Adjapong,ITA,DF,Hellas Verona,21,1998,2.6,0,0,0,3,2,1,3,3,3,0,0,0,11,3,4,42.9,Matches,ITA-SERIA_A,19-20
8bc8829a,4,Lucien Agoume,FRA,MF,Inter,17,2002,0.8,1,0,0,1,0,0,2,0,2,0,0,0,6,0,0,,Matches,ITA-SERIA_A,19-20
46fa7204,5,Kevin Agudelo,COL,"MF,FW",Fiorentina,20,1998,0.7,0,0,0,3,1,0,0,1,1,0,0,0,6,0,2,0.0,Matches,ITA-SERIA_A,19-20
46fa7204,6,Kevin Agudelo,COL,"MF,FW",Genoa,20,1998,7.4,5,1,1,20,11,1,11,6,14,0,1,0,30,3,6,33.3,Matches,ITA-SERIA_A,19-20
fe0b8f0e,7,Emmanuel Agyemang-Badu,GHA,MF,Hellas Verona,28,1990,2.6,2,0,0,7,3,1,1,1,1,0,0,0,10,5,12,29.4,Matches,ITA-SERIA_A,19-20
246d153b,8,Ola Aina,NGA,DF,Torino,22,1996,23.1,8,0,0,25,36,2,62,41,24,0,0,0,130,28,26,51.9,Matches,ITA-SERIA_A,19-20
5294a83f,9,Luis Alberto,ESP,MF,Lazio,26,1992,34.6,5,0,0,20,38,0,177,21,30,0,0,0,217,7,14,33.3,Matches,ITA-SERIA_A,19-20
95adf1e1,10,Enrico Alfonso,ITA,GK,Brescia,31,1988,3.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches,ITA-SERIA_A,19-20
cc700722,11,Allan,BRA,MF,Napoli,28,1991,14.2,3,0,0,30,24,0,13,16,27,0,0,0,87,9,7,56.3,Matches,ITA-SERIA_A,19-20
585a73a8,12,Bruno Alves,POR,DF,Parma,37,1981,29.7,4,0,0,24,12,1,13,25,11,0,2,0,116,84,21,80.0,Matches,ITA-SERIA_A,19-20
5a2cb25d,13,Sofyan Amrabat,MAR,MF,Hellas Verona,22,1996,32.4,10,2,0,63,60,0,25,31,36,1,0,0,219,20,42,32.3,Matches,ITA-SERIA_A,19-20
ca241ad3,14,Djavan Anderson,NED,"FW,DF",Lazio,24,1995,1.9,1,0,0,4,1,0,2,3,0,0,0,0,12,1,2,33.3,Matches,ITA-SERIA_A,19-20
fe471a89,15,Lorenzo Andrenacci,ITA,GK,Brescia,24,1995,5.9,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,100.0,Matches,ITA-SERIA_A,19-20
df525574,16,Peter Ankersen,DEN,DF,Genoa,28,1990,11.8,2,0,0,9,12,1,22,9,4,0,0,0,57,8,4,66.7,Matches,ITA-SERIA_A,19-20
bbafc0c4,17,Cristian Ansaldi,ARG,"DF,MF",Torino,32,1986,19.6,9,0,0,28,30,4,141,14,25,0,0,0,109,9,18,33.3,Matches,ITA-SERIA_A,19-20
91976866,18,Mirko Antonucci,ITA,"FW,MF",Roma,20,1999,0.9,1,0,0,2,1,0,0,2,3,0,0,0,5,0,0,,Matches,ITA-SERIA_A,19-20
2b15a82a,19,Guilherme Arana,BRA,DF,Atalanta,22,1997,0.9,0,0,0,2,4,0,4,2,4,0,0,0,7,0,0,,Matches,ITA-SERIA_A,19-20
2f7407fa,20,Nicolò Armini,ITA,DF,Lazio,18,2001,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,Matches,ITA-SERIA_A,19-20
089550f5,21,Kwadwo Asamoah,GHA,"DF,FW",Inter,30,1988,7.1,1,0,0,6,6,2,18,9,8,0,0,0,42,4,3,57.1,Matches,ITA-SERIA_A,19-20
a69cc629,22,Kristoffer Askildsen,NOR,MF,Sampdoria,18,2001,0.8,2,1,1,4,0,0,0,1,1,0,0,0,3,0,2,0.0,Matches,ITA-SERIA_A,19-20
649b01d8,23,Emil Audero,ITA,GK,Sampdoria,22,1997,36.0,1,0,0,0,5,0,0,0,1,0,0,1,32,4,1,80.0,Matches,ITA-SERIA_A,19-20
3cd3b384,24,Tommaso Augello,ITA,DF,Sampdoria,24,1994,12.6,2,0,0,6,4,1,82,15,9,0,0,0,87,13,5,72.2,Matches,ITA-SERIA_A,19-20
718b8afd,25,Florian Ayé,FRA,"FW,MF",Brescia,22,1997,15.3,4,1,1,19,22,5,7,4,9,1,0,0,49,44,65,40.4,Matches,ITA-SERIA_A,19-20
422ec08a,26,Khouma Babacar,SEN,FW,Lecce,26,1993,15.8,4,0,0,35,32,7,2,3,8,3,0,0,45,35,54,39.3,Matches,ITA-SERIA_A,19-20
e8c930bb,27,Milan Badelj,CRO,MF,Fiorentina,30,1989,17.6,3,1,1,17,19,0,4,45,17,0,0,0,109,10,13,43.5,Matches,ITA-SERIA_A,19-20
8cb494c9,28,Marco Ballarini,ITA,MF,Udinese,18,2001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches,ITA-SERIA_A,19-20
8ff07990,29,Mario Balotelli,ITA,FW,Brescia,28,1990,15.6,6,1,0,32,51,7,8,8,2,0,0,0,40,36,32,52.9,Matches,ITA-SERIA_A,19-20
0821331c,30,Mattia Bani,ITA,DF,Bologna,25,1993,24.5,13,1,1,44,35,1,6,52,28,0,1,0,111,99,70,58.6,Matches,ITA-SERIA_A,19-20
01efac19,31,Antonín Barák,CZE,"MF,FW",Udinese,24,1994,2.2,1,0,0,9,4,0,7,0,4,0,0,0,16,4,1,80.0,Matches,ITA-SERIA_A,19-20
01efac19,32,Antonín Barák,CZE,MF,Lecce,24,1994,15.2,0,0,0,12,9,2,20,9,10,0,0,0,74,19,27,41.3,Matches,ITA-SERIA_A,19-20
6928979a,33,Nicolò Barella,ITA,MF,Inter,22,1997,22.4,11,0,0,39,37,2,38,14,21,1,0,0,147,19,23,45.2,Matches,ITA-SERIA_A,19-20
a64cbd35,34,Antonino Barillà,ITA,MF,Parma,31,1988,18.8,6,0,0,38,22,3,25,17,31,0,0,0,80,17,15,53.1,Matches,ITA-SERIA_A,19-20
6a189491,35,Antonio Barreca,ITA,"DF,FW",Genoa,24,1995,12.2,0,0,0,13,4,3,62,1,7,0,0,0,26,8,14,36.4,Matches,ITA-SERIA_A,19-20
43a1bea5,36,Édgar Barreto,PAR,MF,Sampdoria,35,1984,1.0,0,0,0,1,2,0,0,0,3,0,0,0,3,0,1,0.0,Matches,ITA-SERIA_A,19-20
e5bf73f3,37,Musa Barrow,GAM,"FW,MF",Bologna,20,1998,15.0,1,0,0,22,12,2,59,5,13,0,0,0,65,11,22,33.3,Matches,ITA-SERIA_A,19-20
e5bf73f3,38,Musa Barrow,GAM,"FW,MF",Atalanta,20,1998,2.1,0,0,0,4,7,1,3,0,1,0,0,0,5,4,10,28.6,Matches,ITA-SERIA_A,19-20
ea06dd97,39,Daniele Baselli,ITA,MF,Torino,27,1992,14.2,3,0,0,20,14,0,51,25,23,0,0,0,100,9,12,42.9,Matches,ITA-SERIA_A,19-20
75b86fb3,40,Alessandro Bastoni,ITA,DF,Inter,20,1999,21.3,9,1,1,37,28,0,20,26,17,0,1,0,135,43,25,63.2,Matches,ITA-SERIA_A,19-20
c01c66d9,41,Bastos,ANG,DF,Lazio,28,1991,8.5,4,0,0,15,6,0,1,13,5,0,1,1,32,11,13,45.8,Matches,ITA-SERIA_A,19-20
19e4eab9,42,Rodrigo Becão,BRA,DF,Udinese,23,1996,24.6,8,0,0,44,27,1,5,45,25,0,2,0,96,61,23,72.6,Matches,ITA-SERIA_A,19-20
7b4de647,43,Asmir Begović,BIH,GK,Milan,32,1987,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,ITA-SERIA_A,19-20
d3d758d8,44,Valon Behrami,SUI,MF,Genoa,34,1985,12.3,4,1,1,36,26,0,1,9,26,0,0,0,70,12,11,52.2,Matches,ITA-SERIA_A,19-20
e3756e72,45,Raoul Bellanova,ITA,DF,Atalanta,19,2000,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches,ITA-SERIA_A,19-20
d705ba44,46,Andrea Belotti,ITA,FW,Torino,25,1993,33.4,4,0,0,64,103,22,47,5,16,1,0,1,78,108,107,50.2,Matches,ITA-SERIA_A,19-20
0000acda,47,Marco Benassi,ITA,MF,Fiorentina,24,1994,10.9,1,0,0,23,6,0,19,4,12,0,0,0,51,5,11,31.3,Matches,ITA-SERIA_A,19-20
db092d3b,48,Ismaël Bennacer,ALG,MF,Milan,21,1997,27.6,14,0,0,48,36,0,34,54,47,0,2,0,253,16,25,39.0,Matches,ITA-SERIA_A,19-20
3b8674e6,49,Rodrigo Bentancur,URU,MF,Juventus,22,1997,24.4,9,0,0,53,28,3,52,32,32,1,0,0,159,33,26,55.9,Matches,ITA-SERIA_A,19-20
2e3596d1,50,Romario Benzar,ROU,DF,Lecce,27,1992,1.1,0,0,0,2,0,0,7,0,2,0,0,0,7,1,1,50.0,Matches,ITA-SERIA_A,19-20
53a0e358,51,Domenico Berardi,ITA,FW,Sassuolo,24,1994,27.7,6,1,0,57,64,7,113,33,16,0,0,0,143,17,19,47.2,Matches,ITA-SERIA_A,19-20
dc1c2fce,52,Álex Berenguer,ESP,"MF,DF",Torino,24,1995,20.3,4,0,0,28,40,8,69,18,6,0,0,0,106,15,43,25.9,Matches,ITA-SERIA_A,19-20
61b3978f,53,Bartosz Bereszyński,POL,DF,Sampdoria,27,1992,26.7,10,0,0,34,21,1,49,35,35,0,0,1,144,35,28,55.6,Matches,ITA-SERIA_A,19-20
ee833569,54,Etrit Berisha,ALB,GK,SPAL,30,1989,26.0,2,0,0,0,5,0,0,1,2,0,0,0,42,7,1,87.5,Matches,ITA-SERIA_A,19-20
d5575935,55,Valon Berisha,KVX,MF,Lazio,26,1993,0.4,0,0,0,1,0,0,0,0,1,0,0,0,2,0,2,0.0,Matches,ITA-SERIA_A,19-20
ee93c1a9,56,Federico Bernardeschi,ITA,"MF,FW",Juventus,25,1994,17.5,6,0,0,31,24,5,55,13,5,0,0,0,61,4,2,66.7,Matches,ITA-SERIA_A,19-20
c75b6a02,57,Andrea Bertolacci,ITA,MF,Sampdoria,28,1991,5.9,3,0,0,8,13,0,3,2,4,1,0,0,32,8,5,61.5,Matches,ITA-SERIA_A,19-20
5710a281,58,Lucas Biglia,ARG,MF,Milan,33,1986,7.6,4,0,0,22,7,0,3,7,7,0,1,0,44,12,7,63.2,Matches,ITA-SERIA_A,19-20
9e1577aa,59,Cristiano Biraghi,ITA,DF,Inter,26,1992,17.5,3,0,0,22,22,3,138,13,6,0,0,0,66,4,14,22.2,Matches,ITA-SERIA_A,19-20
64cd167d,60,Davide Biraschi,ITA,DF,Genoa,25,1994,21.9,3,1,0,29,25,0,39,34,17,1,1,1,113,37,18,67.3,Matches,ITA-SERIA_A,19-20
455a2b79,61,Valter Birsa,SVN,"MF,FW",Cagliari,32,1986,4.8,1,0,0,6,2,0,23,4,6,0,0,0,32,2,1,66.7,Matches,ITA-SERIA_A,19-20
16569fef,62,Dimitri Bisoli,ITA,MF,Brescia,25,1994,23.9,6,0,0,38,46,6,64,25,35,0,0,0,143,28,37,43.1,Matches,ITA-SERIA_A,19-20
da13074e,63,Birkir Bjarnason,ISL,"MF,FW",Brescia,31,1988,8.9,1,0,0,17,18,0,14,5,3,0,0,0,43,7,4,63.6,Matches,ITA-SERIA_A,19-20
f4ec4fd0,64,Kevin-Prince Boateng,GHA,FW,Fiorentina,32,1987,6.7,2,0,0,12,21,4,4,1,1,0,0,0,11,20,34,37.0,Matches,ITA-SERIA_A,19-20
faa1b07d,65,Salvatore Bocchetti,ITA,DF,Hellas Verona,32,1986,3.4,2,0,0,5,2,1,0,17,3,0,0,0,14,16,3,84.2,Matches,ITA-SERIA_A,19-20
