id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,league,season
f586779e,1,Tammy Abraham,ENG,FW,Chelsea,21,1997,8,7,566,6.3,3,1,4,3,0,0,0,0,4.9,4.9,1.3,6.2,3,5,25,0.48,0.16,0.64,0.48,0.64,0.78,0.2,0.98,0.78,0.98,Matches,UCL,19-20
2b09d998,2,Tyler Adams,USA,"MF,DF",RB Leipzig,20,1999,3,0,82,0.9,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,0,7,4,1.1,0.0,1.1,1.1,1.1,0.17,0.0,0.17,0.17,0.17,Matches,UCL,19-20
ee926a02,3,Arijan Ademi,MKD,"MF,DF",Dinamo Zagreb,28,1991,6,6,517,5.7,1,1,2,1,0,0,3,0,0.8,0.8,1.3,2.1,11,6,10,0.17,0.17,0.35,0.17,0.35,0.14,0.23,0.37,0.14,0.37,Matches,UCL,19-20
f76e6b4e,4,Adrián,ESP,GK,Liverpool,32,1987,3,3,300,3.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,UCL,19-20
4d034881,5,Sergio Agüero,ARG,FW,Manchester City,31,1988,3,2,196,2.2,2,0,2,1,1,1,0,0,3.5,2.7,0.6,3.4,5,3,16,0.92,0.0,0.92,0.46,0.46,1.62,0.28,1.9,1.26,1.54,Matches,UCL,19-20
89ac64a6,6,Manuel Akanji,SUI,DF,Dortmund,24,1995,6,6,523,5.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,5,26,1,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches,UCL,19-20
05439de2,7,David Alaba,AUT,DF,Bayern Munich,27,1992,8,8,675,7.5,0,0,0,0,0,0,0,0,0.2,0.2,1.0,1.2,11,48,6,0.0,0.0,0.0,0.0,0.0,0.03,0.13,0.16,0.03,0.16,Matches,UCL,19-20
834d0be5,8,Lucas Alario,ARG,FW,Leverkusen,26,1992,5,2,214,2.4,0,0,0,0,0,0,0,0,1.2,1.2,0.1,1.3,4,3,11,0.0,0.0,0.0,0.0,0.0,0.51,0.03,0.54,0.51,0.54,Matches,UCL,19-20
4601e194,9,Jordi Alba,ESP,DF,Barcelona,30,1989,5,5,354,3.9,0,1,1,0,0,0,2,0,0.0,0.0,1.4,1.4,2,14,21,0.0,0.25,0.25,0.0,0.25,0.01,0.35,0.36,0.01,0.36,Matches,UCL,19-20
