id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,league,season
8bc373ea,1,Pape Abou Cissé,SEN,DF,Olympiacos,24,1995,5.0,328,42,188,134,8,3,328,1,1,100.0,0,0.0,190,1036,447,0,2,1,1,1,200,0,Matches,UCL,20-21
f586779e,2,Tammy Abraham,ENG,FW,Chelsea,22,1997,2.6,76,4,8,33,35,11,76,4,2,50.0,2,50.0,38,124,26,0,0,1,7,3,57,14,Matches,UCL,20-21
b96b595c,3,Francesco Acerbi,ITA,DF,Lazio,32,1988,8.0,549,56,256,215,80,9,549,10,9,90.0,1,10.0,260,1615,1022,12,19,0,3,2,361,27,Matches,UCL,20-21
81442ecb,4,Marcos Acuña,ARG,DF,Sevilla,28,1991,3.6,343,8,73,169,106,2,343,12,8,66.7,4,33.3,180,927,544,14,8,0,6,6,231,19,Matches,UCL,20-21
2b09d998,5,Tyler Adams,USA,"FW,MF",RB Leipzig,21,1999,3.2,188,4,47,117,25,0,188,2,0,0.0,2,100.0,75,361,143,1,2,0,0,1,101,5,Matches,UCL,20-21
501055d8,6,Karim Adeyemi,GER,FW,RB Salzburg,18,2002,0.6,17,0,1,3,13,3,17,1,0,0.0,1,100.0,13,58,36,2,0,2,3,1,13,4,Matches,UCL,20-21
f76e6b4e,7,Adrián,ESP,GK,Liverpool,33,1987,1.0,40,37,40,0,0,0,40,0,0,,0,,22,76,35,0,0,0,0,0,14,0,Matches,UCL,20-21
288e1e13,8,Nayef Aguerd,MAR,DF,Rennes,24,1996,3.1,223,25,105,114,5,3,223,0,0,,0,,117,428,195,0,1,0,1,0,163,0,Matches,UCL,20-21
4d034881,9,Sergio Agüero,ARG,FW,Manchester City,32,1988,1.7,37,0,1,15,21,7,36,3,0,0.0,3,100.0,16,73,29,1,3,0,5,2,26,5,Matches,UCL,20-21
89ac64a6,10,Manuel Akanji,SUI,DF,Dortmund,25,1995,7.0,631,64,283,327,23,2,631,5,1,20.0,4,80.0,422,2412,1554,7,7,0,8,1,509,1,Matches,UCL,20-21
