id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 33_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches,league,season
2f965a72,1,Alphonse Areola,FRA,GK,West Ham,28,1993,11.3,8,0,0,0,1,9.3,0.27,2.3,0.21,45,134,33.6,224,36,40.6,36.4,93,46.2,41.3,150,8,5.3,10,0.91,12.5,Matches,UEL,21-22
55b93ae0,2,Giorgos Athanasiadis,GRE,GK,Sheriff Tiraspol,28,1993,2.3,2,0,0,0,0,2.1,0.26,0.1,0.05,20,50,40.0,48,3,75.0,49.8,25,56.0,43.0,41,0,0.0,1,0.5,21.0,Matches,UEL,21-22
56901a62,3,Scott Bain,SCO,GK,Celtic,29,1991,1.0,2,0,0,0,1,2.1,0.29,1.1,1.06,2,6,33.3,41,8,9.8,24.1,6,33.3,35.0,21,0,0.0,0,0.0,9.3,Matches,UEL,21-22
072e68ed,4,Altay Bayındır,TUR,GK,Fenerbahçe,23,1998,3.0,6,0,0,1,0,5.6,0.38,-0.4,-0.14,5,29,17.2,53,10,45.3,38.9,11,45.5,42.1,24,2,8.3,3,1.0,14.5,Matches,UEL,21-22
56f99ec7,5,Ádám Bogdán,HUN,GK,Ferencváros,33,1987,1.0,3,0,0,0,0,1.6,0.41,-1.4,-1.37,5,11,45.5,18,3,33.3,30.2,8,62.5,44.0,10,2,20.0,0,0.0,5.7,Matches,UEL,21-22
5e8936be,6,Milan Borjan,CAN,GK,Red Star,33,1987,7.0,8,2,0,2,1,7.3,0.17,0.3,0.04,61,129,47.3,182,24,51.6,39.4,59,59.3,43.9,91,4,4.4,5,0.71,14.4,Matches,UEL,21-22
34ccf6fa,7,Artur Boruc,POL,GK,Legia Warsaw,41,1980,2.0,1,0,0,0,0,0.8,0.13,-0.2,-0.11,5,20,25.0,52,17,26.9,28.7,19,31.6,31.3,28,0,0.0,3,1.5,16.8,Matches,UEL,21-22
f6798fc3,8,Yassine Bounou,MAR,GK,Sevilla,30,1991,4.3,4,1,0,0,0,6.9,0.34,2.9,0.72,15,40,37.5,109,17,23.9,29.7,39,35.9,32.9,69,3,4.3,4,1.0,11.3,Matches,UEL,21-22
10072610,9,Claudio Bravo,CHI,GK,Betis,38,1983,3.8,6,1,0,0,0,6.5,0.19,0.5,0.12,12,59,20.3,117,21,41.0,36.5,19,57.9,44.1,56,2,3.6,6,1.59,18.0,Matches,UEL,21-22
