id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 23_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,league,season
5f09991f,1,Patrick van Aanholt,NED,DF,PSV Eindhoven,31,1990,1.5,74,66,8,1,0,0,4,6,1,0,1,0,62,0,1,Matches,UEL,22-23
8c6239f2,2,Myenty Abena,SUR,DF,Ferencváros,27,1994,2.0,94,91,3,3,0,0,0,0,0,0,0,0,89,0,0,Matches,UEL,22-23
0e46fa2f,3,Matthis Abline,FRA,FW,Rennes,19,2003,1.6,23,20,3,0,0,0,2,0,0,0,0,0,18,0,1,Matches,UEL,22-23
7f9c5d2d,4,Abner,BRA,DF,Betis,22,2000,1.3,41,29,12,0,0,0,3,12,0,0,0,0,29,0,3,Matches,UEL,22-23
8bc373ea,5,Pape Abou Cissé,SEN,DF,Olympiacos,26,1995,3.3,213,203,10,8,0,1,0,1,0,0,0,0,168,0,1,Matches,UEL,22-23
f586779e,6,Tammy Abraham,ENG,FW,Roma,24,1997,9.6,199,188,11,0,0,3,2,1,0,0,0,0,117,0,12,Matches,UEL,22-23
47aaf574,7,Malik Abubakari,GHA,FW,HJK,22,2000,4.9,74,59,15,0,0,0,0,0,0,0,0,0,58,0,2,Matches,UEL,22-23
81442ecb,8,Marcos Acuña,ARG,DF,Sevilla,30,1991,7.9,409,317,89,11,0,2,43,71,7,0,7,0,289,3,4,Matches,UEL,22-23
82e12fe7,9,Junior Adamu,AUT,FW,RB Salzburg,21,2001,1.2,11,10,1,0,0,0,0,0,0,0,0,0,7,0,0,Matches,UEL,22-23
65d62814,10,Antonio Adán,ESP,GK,Sporting CP,35,1987,6.3,246,178,67,22,0,0,0,0,0,0,0,0,175,1,0,Matches,UEL,22-23
4dcec659,11,Simon Adingra,CIV,"FW,DF",Union SG,20,2002,4.6,145,134,11,1,1,0,12,8,2,1,0,0,104,0,3,Matches,UEL,22-23
dcfb17f4,12,Amine Adli,MAR,"FW,MF",Leverkusen,22,2000,3.1,145,133,12,1,1,1,7,3,8,2,1,1,110,0,3,Matches,UEL,22-23
4b00cd47,13,David Affengruber,AUT,DF,Sturm Graz,21,2001,5.4,232,225,6,5,0,0,0,1,0,0,0,0,173,1,1,Matches,UEL,22-23
3dd738a1,14,Ruben Aguilar,FRA,"DF,MF",Monaco,29,1993,1.4,88,73,13,2,0,1,5,11,0,0,0,0,76,2,2,Matches,UEL,22-23
9c4f39b3,15,Tosin Aiyegun,BEN,FW,Zürich,24,1998,5.3,77,70,7,1,0,1,5,3,0,0,0,0,55,0,2,Matches,UEL,22-23
2b1c4abd,16,Albian Ajeti,SUI,FW,Sturm Graz,25,1997,3.4,41,38,3,0,0,0,1,0,0,0,0,0,30,0,1,Matches,UEL,22-23
7328bee5,17,Samet Akaydın,TUR,DF,Fenerbahçe,28,1994,2.0,125,121,4,4,0,0,0,0,0,0,0,0,109,0,0,Matches,UEL,22-23
