id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 29_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches,league,season
7310786d,1,Keyliane Abdallah,FRA,FW,Marseille,17,2006,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,UEL,23-24
baa6cdf7,2,Bilal Abdelrahman Zeeni,EGY,FW,Panathinaikos,20,2003,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches,UEL,23-24
82464ce3,3,Salis Abdul Samed,GHA,MF,Lens,23,2000,2,129,65,61.4,1.4,1,102,0,1,27,0,0.5,2,3,-1,-0.7,-0.7,0.8,3.2,-2.4,-1.66,-0.55,Matches,UEL,23-24
7f9c5d2d,4,Abner,BRA,DF,Betis,23,2000,5,398,80,73.7,4.4,4,88,3,1,45,1,1.8,6,3,3,0.68,1.31,6.7,4.7,2.0,0.46,0.26,Matches,UEL,23-24
c2a6033c,5,Zakaria Aboukhlal,MAR,FW,Toulouse,23,2000,1,39,39,5.4,0.4,1,39,0,0,,0,1.0,0,0,0,0.0,0.26,0.0,0.4,-0.4,-0.93,-0.17,Matches,UEL,23-24
f586779e,6,Tammy Abraham,ENG,FW,Roma,25,1997,4,83,21,6.4,0.9,0,,0,4,21,0,1.75,0,3,-3,-3.25,-4.3,1.1,2.0,-1.0,-1.06,-1.39,Matches,UEL,23-24
40e57039,7,Peter Abrahamsson,SWE,GK,Häcken,35,1988,6,540,90,100.0,6.0,6,90,6,0,,0,1.0,3,17,-14,-2.33,,7.4,9.8,-2.4,-0.4,,Matches,UEL,23-24
82e12fe7,8,Junior Adamu,AUT,FW,Freiburg,22,2001,6,129,22,13.9,1.4,1,45,0,5,17,4,2.0,3,1,2,1.4,0.83,1.7,0.8,0.9,0.63,0.09,Matches,UEL,23-24
65d62814,9,Antonio Adán,ESP,GK,Sporting CP,36,1987,6,540,90,60.0,6.0,6,90,6,0,,2,1.83,10,7,3,0.5,0.0,13.1,5.4,7.8,1.29,1.7,Matches,UEL,23-24
